group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage
aopalliance,aopalliance,1,EVOSUITE,100,,100,100,100,100
cn.hutool,hutool-core,5.8.25,EVOSUITE,55.9,45.13,52.21,46.62,55.37,87.25
com.auth0,java-jwt,4.4.0,EVOSUITE,53.58,39.72,56.03,47.43,59.31,86.36
com.beust,jcommander,1.72,EVOSUITE,27.19,21.78,32.99,30.85,50,87.23
com.fasterxml.jackson.core,jackson-annotations,2.9.0,EVOSUITE,12.7,11.46,13.74,14.46,19.51,34.48
com.fasterxml.jackson.core,jackson-core,2.13.4,EVOSUITE,22.85,15.05,22.22,20.47,38.82,91.15
com.fasterxml.jackson.dataformat,jackson-dataformat-cbor,2.6.7,EVOSUITE,12.66,9.19,13.67,13.96,28.46,100
com.fasterxml.jackson.dataformat,jackson-dataformat-properties,2.13.3,EVOSUITE,52.35,60.3,54.81,54.37,53.18,84
com.fasterxml.jackson.datatype,jackson-datatype-joda,2.13.2,EVOSUITE,38.09,24.57,41.83,37.67,55.36,97.62
com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.13.3,EVOSUITE,23.84,6.15,25.26,21.14,37.75,94.64
com.fasterxml.jackson.jaxrs,jackson-jaxrs-base,2.9.8,EVOSUITE,26.79,21.31,26.28,26.32,33.6,52.94
com.fasterxml.jackson.jaxrs,jackson-jaxrs-json-provider,2.9.8,EVOSUITE,57.42,56.14,57.52,52.38,52.94,66.67
com.fasterxml.jackson.module,jackson-module-jaxb-annotations,2.9.8,EVOSUITE,12.49,6.03,14.72,11.85,27.03,80
com.fasterxml.jackson.module,jackson-module-parameter-names,2.13.4,EVOSUITE,48.95,18.75,53.66,56.52,80,100
com.github.ben-manes.caffeine,caffeine,3.1.8,EVOSUITE,28.79,18.84,28.19,27.22,31.84,90.74
com.github.javaparser,javaparser-core,3.23.1,EVOSUITE,52.58,31.46,49.57,40.86,58.83,88.91
com.github.lalyos,jfiglet,0.0.8,EVOSUITE,74.65,78.57,80.53,60.98,46.15,100
com.github.luben,zstd-jni,1.5.2-1,EVOSUITE,6.44,5.16,7.12,5.5,7.87,26.32
com.github.spotbugs,spotbugs-annotations,4.8.6,EVOSUITE,83.72,100,91.67,90,87.5,66.67
com.github.tomakehurst,wiremock-jre8,2.35.0,EVOSUITE,54.61,50.18,54.89,56.03,62.66,84.08
com.google.code.gson,gson,2.10.1,EVOSUITE,48.81,42.06,51.46,42.16,60.16,87.1
com.google.devtools.ksp,symbol-processing-api,2.2.0-2.0.2,EVOSUITE,21.69,0,18.96,17.44,28.83,29.31
com.ibm.icu,icu4j,78.1,EVOSUITE,57.18,39.39,49.76,39.04,59.82,81.36
com.jayway.jsonpath,json-path,2.4.0,EVOSUITE,30.97,16.74,34.3,29.06,47.37,71.72
com.jcraft,jsch,0.1.54,EVOSUITE,32.19,19.55,29.94,28.61,50.72,82.84
com.lmax,disruptor,4.0.0,EVOSUITE,86.09,76.63,83.29,85.12,92.18,98.28
commons-beanutils,commons-beanutils,1.9.4,EVOSUITE,61.14,55.71,64.84,60.9,81.77,96.85
commons-cli,commons-cli,1.2,EVOSUITE,94.88,89.18,96.23,90.07,100,100
commons-codec,commons-codec,1.15,EVOSUITE,57.89,84.98,81.68,73.95,67.93,87.5
commons-collections,commons-collections,3.2.2,EVOSUITE,80.04,80.96,81.46,78.76,82.85,95.73
commons-digester,commons-digester,2.1,EVOSUITE,70.51,70.65,77.64,75.58,89.42,95.61
commons-fileupload,commons-fileupload,1.4,EVOSUITE,53.57,50.22,51.96,53.62,64.44,74.36
commons-lang,commons-lang,2.6,EVOSUITE,65.51,55.33,64.13,58.6,71.73,86.51
commons-logging,commons-logging,1.2,EVOSUITE,40.6,31.54,42.01,35.8,55.56,66.67
commons-net,commons-net,3.1,EVOSUITE,52.1,43.72,49.99,49.03,59.26,87.97
commons-pool,commons-pool,1.6,EVOSUITE,59.58,53.49,59.8,57.02,69.85,95.65
commons-validator,commons-validator,1.7,EVOSUITE,84.7,68.29,76.79,73.54,90.52,90.79
com.novocode,junit-interface,0.11,EVOSUITE,60.96,44.14,65.3,56.76,82.84,92.31
