group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage
aopalliance,aopalliance,1,EVOSUITE,100,,100,100,100,100
aws.sdk.kotlin,aws-core-jvm,1.5.24,EVOSUITE,100,,100,100,100,100
jakarta.jms,jakarta.jms-api,3.1.0,EVOSUITE,100,100,100,100,100,100
org.hamcrest,hamcrest-core,3,EVOSUITE,100,,100,100,100,100
org.hamcrest,hamcrest-library,3,EVOSUITE,100,,100,100,100,100
org.osgi,org.osgi.service.component,1.5.1,EVOSUITE,100,,100,100,100,100
org.osgi,org.osgi.service.component.annotations,1.3.0,EVOSUITE,100,,100,100,100,100
org.osgi,org.osgi.service.metatype.annotations,1.3.0,EVOSUITE,100,,100,100,100,100
commons-cli,commons-cli,1.2,EVOSUITE,94.88,89.18,96.23,90.07,100,100
com.github.spotbugs,spotbugs-annotations,4.8.6,EVOSUITE,83.72,100,91.67,90,87.5,66.67
aws.smithy.kotlin,http-client-engine-default-jvm,1.5.17,EVOSUITE,91.6,87.5,91.49,87.5,91.67,100
aws.smithy.kotlin,telemetry-defaults-jvm,1.5.17,EVOSUITE,86.67,50,90.91,91.67,100,100
org.scala-sbt,test-interface,1,EVOSUITE,79.23,96.77,89.76,92.21,91.3,72.73
com.squareup.retrofit2,converter-gson,3.0.0,EVOSUITE,81.87,83.33,89.13,83.33,86.67,100
org.scala-js,scalajs-test-interface_2.13,1.5.1,EVOSUITE,73.36,71.28,88.07,65.77,67.19,80
com.squareup.okhttp3,okhttp-urlconnection,5.1.0,EVOSUITE,70.37,,87.5,75,75,100
org.typelevel,scalac-compat-annotation_2.13,0.1.4,EVOSUITE,87.5,,87.5,91.67,91.67,87.5
org.scala-js,scalajs-test-interface_2.12,1.5.1,EVOSUITE,71.71,69.15,87.27,63.39,66.15,80
org.scala-js,scalajs-test-interface_2.11,1.0.0,EVOSUITE,74.62,76.14,87.16,66.36,65.15,66.67
jakarta.transaction,jakarta.transaction-api,2.0.1,EVOSUITE,53.62,,85.42,95.24,95.24,90.91
org.jetbrains.kotlinx,atomicfu-jvm,0.19.0,EVOSUITE,85.54,57.81,84.67,72.86,91.11,84.21
org.jetbrains.kotlin,kotlin-android-extensions-runtime,2.0.21,EVOSUITE,87.8,,83.33,75,75,66.67
com.lmax,disruptor,4.0.0,EVOSUITE,86.09,76.63,83.29,85.12,92.18,98.28
org.jetbrains.kotlin,kotlin-test-junit,2.2.0,EVOSUITE,77.55,83.33,82.14,86.67,91.67,100
org.typelevel,scalac-compat-annotation_2.12,0.1.4,EVOSUITE,85.96,,81.82,88.24,88.24,88.89
commons-codec,commons-codec,1.15,EVOSUITE,57.89,84.98,81.68,73.95,67.93,87.5
commons-collections,commons-collections,3.2.2,EVOSUITE,80.04,80.96,81.46,78.76,82.85,95.73
com.github.lalyos,jfiglet,0.0.8,EVOSUITE,74.65,78.57,80.53,60.98,46.15,100
org.apache.commons,commons-exec,1.3,EVOSUITE,79.6,75.6,79.27,77.57,90.58,93.33
io.prometheus,simpleclient,0.16.0,EVOSUITE,77.69,65.29,79.24,69.73,83.33,90.74
org.jetbrains.kotlin,kotlin-test-junit5,2.1.0,EVOSUITE,74.73,83.33,79.17,80,83.33,100
org.typelevel,scalac-compat-annotation_3,0.1.4,EVOSUITE,63.64,,77.78,73.33,73.33,87.5
commons-digester,commons-digester,2.1,EVOSUITE,70.51,70.65,77.64,75.58,89.42,95.61
aws.smithy.kotlin,serde-jvm,1.5.17,EVOSUITE,71.72,57.14,77.57,89.29,92.5,90.62
commons-validator,commons-validator,1.7,EVOSUITE,84.7,68.29,76.79,73.54,90.52,90.79
joda-time,joda-time,2.9.9,EVOSUITE,75.91,67.62,76.52,72,84.38,92.76
org.scoverage,scalac-scoverage-runtime_2.11,1.1.1,EVOSUITE,76.07,25,76,72.41,84,83.33
io.grpc,grpc-protobuf,1.62.2,EVOSUITE,72.53,87.5,74.47,60.87,53.33,50
io.swagger.core.v3,swagger-annotations,2.2.8,EVOSUITE,67.7,,73.68,75,75,50
aws.sdk.kotlin,aws-endpoint-jvm,1.5.24,EVOSUITE,61.79,58.33,73.21,56.67,75,75
