group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage
com.auth0,java-jwt,4.4.0,EVOSUITE,53.58,39.72,56.03,47.43,59.31,86.36
com.beust,jcommander,1.72,EVOSUITE,27.19,21.78,32.99,30.85,50,87.23
com.github.javaparser,javaparser-core,3.23.1,EVOSUITE,52.58,31.46,49.57,40.86,58.83,88.91
com.github.lalyos,jfiglet,0.0.8,EVOSUITE,74.65,78.57,80.53,60.98,46.15,100
com.github.luben,zstd-jni,1.5.2-1,EVOSUITE,6.44,5.16,7.12,5.5,7.87,26.32
com.github.spotbugs,spotbugs-annotations,4.8.6,EVOSUITE,83.72,100,91.67,90,87.5,66.67
com.github.tomakehurst,wiremock-jre8,2.35.0,EVOSUITE,54.61,50.18,54.89,56.03,62.66,84.08
com.google.code.gson,gson,2.10.1,EVOSUITE,48.81,42.06,51.46,42.16,60.16,87.1
com.google.devtools.ksp,symbol-processing-api,2.2.0-2.0.2,EVOSUITE,21.69,0,18.96,17.44,28.83,29.31
com.ibm.icu,icu4j,78.1,EVOSUITE,57.18,39.39,49.76,39.04,59.82,81.36
com.jayway.jsonpath,json-path,2.4.0,EVOSUITE,30.97,16.74,34.3,29.06,47.37,71.72
com.jcraft,jsch,0.1.54,EVOSUITE,32.19,19.55,29.94,28.61,50.72,82.84
com.lmax,disruptor,4.0.0,EVOSUITE,86.09,76.63,83.29,85.12,92.18,98.28
io.dropwizard.metrics,metrics-core,4.2.19,EVOSUITE,27.62,34.66,30.14,26.23,26.46,40.48
io.dropwizard.metrics,metrics-jvm,4.2.19,EVOSUITE,31.76,14.06,34.6,27.45,34.29,56.25
io.get-coursier,interface,1.0.16,EVOSUITE,15.77,12.2,22.93,14.53,19.42,42.93
io.github.classgraph,classgraph,4.8.149,EVOSUITE,28.23,22.6,29.18,22.64,43.46,74.55
io.jsonwebtoken,jjwt,0.9.1,EVOSUITE,22.45,14.33,23.63,26.07,41.67,67.14
io.jsonwebtoken,jjwt-api,0.11.2,EVOSUITE,32.83,16.99,28.6,24.9,38.76,76.27
io.jsonwebtoken,jjwt-impl,0.11.2,EVOSUITE,36.39,20.27,39.83,43.86,59.16,81.63
io.jsonwebtoken,jjwt-jackson,0.11.2,EVOSUITE,63.58,0,69.05,68.75,84.62,66.67
io.micrometer,micrometer-core,1.12.2,EVOSUITE,36.02,43.23,41.17,38.08,39.17,74.44
io.micrometer,micrometer-registry-prometheus,1.15.4,EVOSUITE,18.83,27.13,24.39,26.77,30.53,69.23
io.opentelemetry,opentelemetry-api,1.44.1,EVOSUITE,63.47,56.78,61.86,54.93,58.4,71.97
io.opentelemetry,opentelemetry-context,1.44.1,EVOSUITE,66.47,51.5,69.44,60.56,74.46,88.24
io.prometheus,simpleclient,0.16.0,EVOSUITE,77.69,65.29,79.24,69.73,83.33,90.74
io.reactivex,rxjava,1.3.8,EVOSUITE,35.43,31.17,37.39,34.06,42.46,59.94
io.reactivex.rxjava2,rxjava,2.2.21,EVOSUITE,30.34,22.99,30.59,27.92,39.73,56.87
io.reactivex.rxjava3,rxjava,3.1.8,EVOSUITE,35.29,27.01,35.54,31.74,44.38,65.25
io.springfox,springfox-swagger2,3.0.0,EVOSUITE,19.29,14.32,19.28,22.06,30.79,72.22
io.swagger.core.v3,swagger-annotations,2.2.8,EVOSUITE,67.7,,73.68,75,75,50
it.unimi.dsi,fastutil,8.5.15,EVOSUITE,16.67,14.9,19.67,15.24,19.5,41.79
jakarta.activation,jakarta.activation-api,2.1.3,EVOSUITE,65.43,54.27,66.9,59.59,89.25,94.74
jakarta.jms,jakarta.jms-api,3.1.0,EVOSUITE,100,100,100,100,100,100
jakarta.json,jakarta.json-api,2.1.3,EVOSUITE,28.05,25,32.07,26.18,28.07,47.83
jakarta.servlet,jakarta.servlet-api,6.0.0,EVOSUITE,61.85,48.06,59.88,64.3,72.32,65.91
jakarta.servlet.jsp.jstl,jakarta.servlet.jsp.jstl-api,3.0.0,EVOSUITE,38.52,24.44,41.83,34.97,52.38,75
jakarta.transaction,jakarta.transaction-api,2.0.1,EVOSUITE,53.62,,85.42,95.24,95.24,90.91
jakarta.xml.ws,jakarta.xml.ws-api,4.0.2,EVOSUITE,39.11,46.88,48.45,48.24,52.17,57.14
joda-time,joda-time,2.9.9,EVOSUITE,75.91,67.62,76.52,72,84.38,92.76
net.minidev,json-smart,2.3,EVOSUITE,64.29,56.34,65.5,58.03,78.9,97.59
net.sf.trove4j,trove4j,2.0.2,EVOSUITE,46.32,36.48,48.23,42.23,52.11,72.39
org.apache.commons,commons-collections4,4.4,EVOSUITE,39.45,38.26,41.79,38.22,42.75,69.77
org.apache.commons,commons-configuration2,2.1.1,EVOSUITE,59.66,53.35,61.81,56.99,67.46,85.03
org.apache.commons,commons-csv,1.8,EVOSUITE,21.13,6.84,17.43,12.05,26.67,46.67
org.apache.commons,commons-exec,1.3,EVOSUITE,79.6,75.6,79.27,77.57,90.58,93.33
org.apache.commons,commons-io,1.3.2,EVOSUITE,38.77,30.42,37.6,35.19,45.53,70.18
org.apache.commons,commons-jexl3,3.1,EVOSUITE,37.14,26.7,34.62,29.01,56.57,84.68
org.apache.commons,commons-lang3,3.12.0,EVOSUITE,53.62,42.23,51.45,47.99,61.98,92.83
org.apache.commons,commons-math3,3.6.1,EVOSUITE,68.8,58.44,63.65,62.85,74.85,85.77
org.apache.commons,commons-pool2,2.11.1,EVOSUITE,50.81,35.52,49.12,43.3,56.03,66.18
org.apache.commons,commons-text,1.10.0,EVOSUITE,56.84,45.83,56.94,49.13,58.07,81.25
org.apache.httpcomponents,httpclient,4.5.13,EVOSUITE,47.95,37.07,47.73,45.32,59.32,80.75
org.apache.logging.log4j,log4j-1.2-api,2.17.1,EVOSUITE,22.71,15.9,26.74,31.03,48.36,72.34
org.apache.logging.log4j,log4j-api,2.17.2,EVOSUITE,51.41,51.42,52.99,48.57,54.11,90
org.apache.logging.log4j,log4j-jcl,2.17.1,EVOSUITE,31.56,75,38.18,36.36,35.48,100
org.apache.logging.log4j,log4j-jul,2.17.2,EVOSUITE,50.53,37.23,54.55,56.5,66.92,100
org.apache.logging.log4j,log4j-slf4j18-impl,2.11.1,EVOSUITE,31.46,38.1,37.46,36.71,39.47,100
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,EVOSUITE,68.32,58.82,62.24,61.96,65.38,100
org.apache.logging.log4j,log4j-web,2.17.1,EVOSUITE,31.91,26.19,31.53,30.71,48.21,63.64
org.apache.poi,poi,5.2.3,EVOSUITE,56.4,45.82,53.66,49.81,59.14,82.85
org.apache.poi,poi-ooxml,5.2.5,EVOSUITE,25.19,15.02,22.16,18.1,25.83,61.83
org.apache.velocity,velocity,1.7,EVOSUITE,27.99,14.23,27.86,25.23,58.56,86.88
org.apache.xmlbeans,xmlbeans,5.1.1,EVOSUITE,24.05,18.94,23.27,20.05,29.65,62.07
org.aspectj,aspectjrt,1.9.6,EVOSUITE,39.49,33.69,46.78,46.31,61.86,90.77
org.aspectj,aspectjweaver,1.9.7,EVOSUITE,31.51,22.3,31.68,28.29,45.37,79.63
org.assertj,assertj-core,3.22.0,EVOSUITE,21.54,20.08,26.02,20.7,23.28,39.59
org.bouncycastle,bcpkix-jdk15on,1.64,EVOSUITE,27.57,9.33,,23.3,35.93,71.38
org.checkerframework,checker-compat-qual,2.0.0,EVOSUITE,51.93,37.29,56.11,58.74,70.55,55.56
org.checkerframework,checker-qual,3.12.0,EVOSUITE,64.55,95.76,70.13,89.41,84.62,42.86
org.codehaus.jackson,jackson-core-asl,1.9.13,EVOSUITE,36.09,27.31,36.39,34.37,57.9,82.35
org.codehaus.jackson,jackson-mapper-asl,1.9.13,EVOSUITE,41.8,30.82,43.55,37.3,56.05,82.22
org.codehaus.jettison,jettison,1.1,EVOSUITE,51.37,48.65,52.87,47.65,57.83,88.89
org.codehaus.plexus,plexus-utils,3.5.1,EVOSUITE,46.76,35,41.92,38.88,55.48,70.83
org.codehaus.woodstox,woodstox-core-asl,4.4.1,EVOSUITE,21.82,13.68,22.69,17.61,32.07,73.3
org.dom4j,dom4j,2.1.3,EVOSUITE,49.73,38.67,49.96,50.06,62.87,85
org.elasticsearch.client,elasticsearch-rest-client,9.1.2,EVOSUITE,30.07,23.71,30.07,34.62,48.55,48.84
org.elasticsearch.client,elasticsearch-rest-high-level-client,7.10.2,EVOSUITE,49.56,44.93,52.15,46.01,49.52,86.48
org.freemarker,freemarker,2.3.31,EVOSUITE,26.82,17.23,25.89,20.17,38.01,60.97
org.fusesource.jansi,jansi,2.4.0,EVOSUITE,53.41,27.03,43.34,37.73,58.7,68.18
org.glassfish,javax.json,1.0.4,EVOSUITE,21.1,21.09,19.68,17.78,19.9,18
org.glassfish.jaxb,jaxb-core,4.0.5,EVOSUITE,38.26,30.6,41.24,41.31,57.88,72.58
org.hamcrest,hamcrest,3,EVOSUITE,58.53,59.34,58.53,54.46,55.85,87.38
org.hamcrest,hamcrest-all,1.3,EVOSUITE,62.38,24.02,41.48,35.81,56.99,83.52
org.hamcrest,hamcrest-core,3,EVOSUITE,100,,100,100,100,100
org.hamcrest,hamcrest-library,3,EVOSUITE,100,,100,100,100,100
org.hjson,hjson,3.0.0,EVOSUITE,39.22,41,36.3,32.59,31.79,70.83
org.jooq,jooq,3.14.16,EVOSUITE,18.07,18.58,22.47,16.25,17.49,53.03
org.json,json,20250517,EVOSUITE,35.18,28.34,36.9,28.53,47.06,92.31
org.jsoup,jsoup,1.15.3,EVOSUITE,51.1,36.53,45.06,41.22,60.77,87.24
org.lz4,lz4-java,1.8.0,EVOSUITE,51.02,36.78,51.93,44.46,73.2,93.33
org.mapstruct,mapstruct,1.6.3,EVOSUITE,24.53,56.25,36.05,37.04,42.11,8.33
org.mariadb.jdbc,mariadb-java-client,3.3.3,EVOSUITE,47.95,37.96,47.73,42.28,53.08,84.71
org.mozilla,rhino,1.7.14,EVOSUITE,25.59,17.65,26.14,21.92,43.63,75.47
org.openapitools,jackson-databind-nullable,0.2.6,EVOSUITE,58.1,51.61,56.41,56.82,63.16,76.92
org.ops4j.pax.logging,pax-logging-api,1.10.1,EVOSUITE,36.96,35.07,37.3,33.28,39.04,73.71
org.quartz-scheduler,quartz,2.3.2,EVOSUITE,34.92,36.3,37.01,39.87,50.62,65.73
org.reflections,reflections,0.9.11,EVOSUITE,26.85,22.5,31.21,27.66,40.38,53.01
org.skyscreamer,jsonassert,2.0-rc1,EVOSUITE,64.37,58.33,65.89,57.58,65.16,93.75
org.slf4j,jcl-over-slf4j,2.0.17,EVOSUITE,19.22,19.51,21.01,28.65,33.88,28.57
org.slf4j,log4j-over-slf4j,2.0.16,EVOSUITE,64.27,58.26,67.29,67.1,76.07,100
org.springdoc,springdoc-openapi-ui,1.7.0,EVOSUITE,52.83,33.33,58.96,68.49,81.03,100
org.threeten,threetenbp,1.7.0,EVOSUITE,44.26,32.68,46.67,36.72,56.33,89.41
org.xerial,sqlite-jdbc,3.34.0,EVOSUITE,47.08,31.17,44.4,40.17,50.12,89.25
org.xmlunit,xmlunit-core,2.9.1,EVOSUITE,35.19,28.68,38.61,33.11,42.56,54.76
org.yaml,snakeyaml,2.2,EVOSUITE,23.42,17.55,23.97,23.9,37.7,44.6
xmlunit,xmlunit,1.6,EVOSUITE,54.7,50.77,51.6,45.63,50.48,79.66
