group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1.0,LLM,35.82,,47.37,62.5,62.5,100,3,1,0.3333,4,3,1,0,0.75,0.25,0
com.fasterxml.jackson.core,jackson-annotations,2.9.0,,,,,,,,,,,,,,,,,
com.fasterxml.jackson.jaxrs,jackson-jaxrs-json-provider,2.9.8,,,,,,,,,,,,,,,,,
com.github.lalyos,jfiglet,0.0.8,LLM,63.76,57.14,58.41,51.22,53.85,50,2,1,0.5,12,9,1,2,0.75,0.0833,0.1667
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,82.17,75,87.5,80,87.5,66.67,2,2,1,10,10,0,0,1,0,0
com.google.dagger,dagger,2.27,,,,,,,,,,,,,,,,,
commons-cli,commons-cli,1.2,LLM,0,0,0,0,0,0,19,13,0.6842,87,66,17,4,0.7586,0.1954,0.046
commons-fileupload,commons-fileupload,1.4,LLM,26.87,21.86,22.35,17.87,21.34,30.77,23,10,0.4348,46,30,15,1,0.6522,0.3261,0.0217
commons-logging,commons-logging,1.2,LLM,14.53,7.92,16.18,13.88,26.6,25.93,13,6,0.4615,69,49,20,0,0.7101,0.2899,0
commons-pool,commons-pool,1.6,LLM,6.02,4.95,7.02,5.2,9.06,15.22,16,6,0.375,46,37,9,0,0.8043,0.1957,0
io.grpc,grpc-protobuf,1.62.2,,,,,,,,,,,,,,,,,
io.grpc,grpc-context,1.27.2,,,,,,,,,,,,,,,,,
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
io.prometheus,simpleclient,0.16.0,LLM,26.5,18.79,30.17,23.34,34.77,59.26,23,9,0.3913,61,38,7,16,0.623,0.1148,0.2623
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
jakarta.jms,jakarta.jms-api,3.1.0,,,,,,,,,,,,,,,,,
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,44.2,,70.83,80.95,80.95,81.82,10,9,0.9,19,17,2,0,0.8947,0.1053,0
net.minidev,json-smart,2.3,,,,,,,,,,,,,,,,,
org.apache.commons,commons-csv,1.8,LLM,0,0,0,0,0,0,9,3,0.3333,11,11,0,0,1,0,0
org.apache.commons,commons-exec,1.3,,,,,,,,,,,,,,,,,
org.apache.logging.log4j,log4j-jcl,2.17.1,,,,,,,,,,,,,,,,,
org.apache.logging.log4j,log4j-slf4j18-impl,2.11.1,,,,,,,,,,,,,,,,,
org.checkerframework,checker-qual,3.12.0,LLM,13.84,16.95,14.72,14.12,23.08,14.29,3,1,0.3333,6,3,3,0,0.5,0.5,0
org.codehaus.groovy,groovy-datetime,3.0.7,,,,,,,,,,,,,,,,,
org.hamcrest,hamcrest-library,3.0,,,,,,,,,,,,,,,,,
org.hamcrest,hamcrest-core,3.0,,,,,,,,,,,,,,,,,
org.hjson,hjson,3.0.0,LLM,32.81,26.54,36.21,26.49,42.5,66.67,14,8,0.5714,59,45,9,5,0.7627,0.1525,0.0847
org.json,json,20250517,LLM,10.61,5.38,11.91,7.72,18.52,53.85,22,11,0.5,64,41,15,8,0.6406,0.2344,0.125
org.osgi,org.osgi.service.component,1.5.1,LLM,34.29,,38.46,30,30,16.67,2,1,0.5,5,3,2,0,0.6,0.4,0
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,0,,0,0,0,0,1,1,1,2,0,2,0,0,1,0
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,29.54,,29.09,28.57,28.57,28.57,7,2,0.2857,5,5,0,0,1,0,0
org.skyscreamer,jsonassert,2.0-rc1,LLM,17.24,16.67,16.56,16.97,20,37.5,15,5,0.3333,26,25,1,0,0.9615,0.0385,0
org.slf4j,log4j-over-slf4j,2.0.16,LLM,22.54,6.09,20.38,16.88,22.7,58.33,24,8,0.3333,35,25,9,1,0.7143,0.2571,0.0286
org.slf4j,jcl-over-slf4j,2.0.17,,,,,,,,,,,,,,,,,
