group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1.0,LLM,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
com.github.lalyos,jfiglet,0.0.8,LLM,0.00,0.00,0.00,0.00,0.00,0.00,2,1,0.5000,6,0,0,6,0.0000,0.0000,1.0000
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,82.17,75.00,87.50,80.00,87.50,66.67,2,2,1.0000,10,10,0,0,1.0000,0.0000,0.0000
commons-fileupload,commons-fileupload,1.4,LLM,31.23,23.16,27.37,22.34,30.13,46.15,23,14,0.6087,61,42,17,2,0.6885,0.2787,0.0328
commons-logging,commons-logging,1.2,LLM,25.83,14.31,27.20,24.10,44.11,48.15,13,8,0.6154,97,90,7,0,0.9278,0.0722,0.0000
commons-pool,commons-pool,1.6,LLM,3.60,2.15,4.22,3.84,6.92,15.22,16,5,0.3125,40,29,10,1,0.7250,0.2500,0.0250
io.grpc,grpc-protobuf,1.62.2,LLM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,70.39,,73.68,75.00,75.00,50.00,4,4,1.0000,19,19,0,0,1.0000,0.0000,0.0000
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,53.98,,70.83,80.95,80.95,81.82,10,9,0.9000,19,17,2,0,0.8947,0.1053,0.0000
commons-cli,commons-cli,1.2,LLM,42.54,35.81,47.25,38.96,52.45,85.00,19,13,0.6842,83,61,20,2,0.7349,0.2410,0.0241
org.apache.commons,commons-csv,1.8,LLM,5.85,3.34,6.86,4.90,9.74,33.33,9,4,0.4444,17,17,0,0,1.0000,0.0000,0.0000
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,LLM,23.72,16.18,29.37,22.83,32.69,60.00,5,2,0.4000,14,13,1,0,0.9286,0.0714,0.0000
org.checkerframework,checker-qual,3.12.0,LLM,46.66,39.83,40.69,40.00,53.85,42.86,3,3,1.0000,20,6,14,0,0.3000,0.7000,0.0000
org.hjson,hjson,3.0.0,LLM,34.20,28.08,38.50,28.71,45.71,66.67,14,9,0.6429,68,53,11,4,0.7794,0.1618,0.0588
org.json,json,20250517,LLM,13.67,8.04,15.03,9.81,22.22,65.38,22,13,0.5909,70,47,15,8,0.6714,0.2143,0.1143
org.osgi,org.osgi.service.component,1.5.1,LLM,34.29,,38.46,30.00,30.00,16.67,2,1,0.5000,5,3,2,0,0.6000,0.4000,0.0000
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,100.00,,100.00,100.00,100.00,100.00,7,7,1.0000,24,24,0,0,1.0000,0.0000,0.0000
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,100.00,,100.00,100.00,100.00,100.00,1,1,1.0000,2,1,1,0,0.5000,0.5000,0.0000
org.skyscreamer,jsonassert,2.0-rc1,LLM,24.02,17.82,23.24,21.52,29.68,43.75,15,6,0.4000,31,30,1,0,0.9677,0.0323,0.0000
org.slf4j,log4j-over-slf4j,2.0.16,LLM,37.62,13.91,35.66,27.71,36.20,75.00,24,13,0.5417,60,47,12,1,0.7833,0.2000,0.0167
io.prometheus,simpleclient,0.16.0,LLM,29.10,18.31,32.76,25.30,40.52,61.11,23,9,0.3913,56,47,6,3,0.8393,0.1071,0.0536
