library,category,compile_failures,percentage
commons-cli:commons-cli:1.2,cannot_find_symbol,18,81.82
commons-cli:commons-cli:1.2,generic_type_mismatch,2,9.09
commons-cli:commons-cli:1.2,other_compile_error,1,4.55
commons-cli:commons-cli:1.2,unchecked_exception_not_handled,1,4.55
commons-logging:commons-logging:1.2,cannot_find_symbol,3,50.00
commons-logging:commons-logging:1.2,generic_type_mismatch,1,16.67
commons-logging:commons-logging:1.2,method_signature_mismatch,1,16.67
commons-logging:commons-logging:1.2,other_compile_error,1,16.67
commons-validator:commons-validator:1.7,access_modifier_error,2,9.52
commons-validator:commons-validator:1.7,cannot_find_symbol,9,42.86
commons-validator:commons-validator:1.7,generic_type_mismatch,4,19.05
commons-validator:commons-validator:1.7,method_signature_mismatch,3,14.29
commons-validator:commons-validator:1.7,other_compile_error,1,4.76
commons-validator:commons-validator:1.7,unchecked_exception_not_handled,2,9.52
org.apache.commons:commons-csv:1.8,method_signature_mismatch,1,25.00
org.apache.commons:commons-csv:1.8,other_compile_error,1,25.00
org.apache.commons:commons-csv:1.8,syntax_error,1,25.00
org.apache.commons:commons-csv:1.8,unchecked_exception_not_handled,1,25.00
org.apache.commons:commons-exec:1.3,access_modifier_error,7,36.84
org.apache.commons:commons-exec:1.3,cannot_find_symbol,8,42.11
org.apache.commons:commons-exec:1.3,method_signature_mismatch,2,10.53
org.apache.commons:commons-exec:1.3,other_compile_error,2,10.53
org.apache.commons:commons-io:1.3.2,abstract_class_or_interface_instantiation,1,4.17
org.apache.commons:commons-io:1.3.2,access_modifier_error,1,4.17
org.apache.commons:commons-io:1.3.2,cannot_find_symbol,10,41.67
org.apache.commons:commons-io:1.3.2,generic_type_mismatch,4,16.67
org.apache.commons:commons-io:1.3.2,method_signature_mismatch,1,4.17
org.apache.commons:commons-io:1.3.2,other_compile_error,5,20.83
org.apache.commons:commons-io:1.3.2,syntax_error,1,4.17
org.apache.commons:commons-io:1.3.2,unchecked_exception_not_handled,1,4.17
org.json:json:20250517,access_modifier_error,2,28.57
org.json:json:20250517,cannot_find_symbol,3,42.86
org.json:json:20250517,method_signature_mismatch,1,14.29
org.json:json:20250517,other_compile_error,1,14.29
