library,source_file,test_class,stage,category,message
org.apache.commons:commons-csv:1.8,org\apache\commons\csv\CSVPrinter.java,CSVPrinterTest,compile,other_compile_error,"Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/org.apache.commons/commons-csv/1.8/src/test/java/org/apache/commons/csv/CSVPrinterTest.java:[36,28] 'void' type not allowed here [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-csv: Compilation failure [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/org.apache.commons/commons-csv/1.8/src/test/java/org/apache/commons/csv/CSVPrinterTest.java:[36,28] 'void' type not allowed here [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
org.apache.commons:commons-csv:1.8,org\apache\commons\csv\CSVRecord.java,CSVRecordTest,compile,unchecked_exception_not_handled,"IOException; must be caught or declared to be thrown [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/org.apache.commons/commons-csv/1.8/src/test/java/org/apache/commons/csv/CSVRecordTest.java:[103,28] unreported exception java.io.IOException; must be caught or declared to be thrown [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/org.apache.commons/commons-csv/1.8/src/test/java/org/apache/commons/csv/CSVRecordTest.java:[118,28] unreported exception java.io.IOException; must be caught or declared to be thrown [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
org.apache.commons:commons-csv:1.8,org\apache\commons\csv\IOUtils.java,IOUtilsTest,syntax,syntax_error,missing @Test method annotation
org.apache.commons:commons-csv:1.8,org\apache\commons\csv\Lexer.java,LexerTest,compile,method_signature_mismatch,"org.mockito.stubbing.OngoingStubbing.thenReturn(java.lang.Integer) is not applicable [ERROR] (argument mismatch; char cannot be converted to java.lang.Integer) [ERROR] method org.mockito.stubbing.OngoingStubbing.thenReturn(java.lang.Integer,java.lang.Integer...) is not applicable [ERROR] (argument mismatch; char cannot be converted to java.lang.Integer) [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/org.apache.commons/commons-csv/1.8/src/test/java/org/apache/commons/csv/LexerTest.java:[75,40] incompatible types: char cannot be converted to java.lang.Integer [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-cli:commons-cli:1.2,org\apache\commons\cli\AlreadySelectedException.java,AlreadySelectedExceptionTest,compile,cannot_find_symbol,"st-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/AlreadySelectedExceptionTest.java:[57,25] cannot find symbol [ERROR] symbol: class AlreadySelectedException [ERROR] location: class org.apache.commons.cli.AlreadySelectedExceptionTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/AlreadySelectedExceptionTest.java:[57,54] cannot find symbol [ERROR] symbol: class OptionGroup [ERROR] location: class org.apache.commons.cli.AlreadySelectedExceptionTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-cli:commons-cli:1.2,org\apache\commons\cli\BasicParser.java,BasicParserTest,compile,cannot_find_symbol,"ROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/BasicParserTest.java:[10,13] cannot find symbol [ERROR] symbol: class BasicParser [ERROR] location: class org.apache.commons.cli.BasicParserTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/BasicParserTest.java:[14,22] cannot find symbol [ERROR] symbol: class BasicParser [ERROR] location: class org.apache.commons.cli.BasicParserTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-cli:commons-cli:1.2,org\apache\commons\cli\GnuParser.java,GnuParserTest,compile,cannot_find_symbol,"serTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/GnuParserTest.java:[105,9] cannot find symbol [ERROR] symbol: class GnuParser [ERROR] location: class org.apache.commons.cli.GnuParserTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/GnuParserTest.java:[105,32] cannot find symbol [ERROR] symbol: class GnuParser [ERROR] location: class org.apache.commons.cli.GnuParserTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-cli:commons-cli:1.2,org\apache\commons\cli\MissingArgumentException.java,MissingArgumentExceptionTest,compile,cannot_find_symbol,"n/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/MissingArgumentExceptionTest.java:[32,9] cannot find symbol [ERROR] symbol: class MissingArgumentException [ERROR] location: class org.apache.commons.cli.MissingArgumentExceptionTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/MissingArgumentExceptionTest.java:[32,50] cannot find symbol [ERROR] symbol: class MissingArgumentException [ERROR] location: class org.apache.commons.cli.MissingArgumentExceptionTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-cli:commons-cli:1.2,org\apache\commons\cli\MissingOptionException.java,MissingOptionExceptionTest,compile,cannot_find_symbol,"st-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/MissingOptionExceptionTest.java:[31,9] cannot find symbol [ERROR] symbol: class MissingOptionException [ERROR] location: class org.apache.commons.cli.MissingOptionExceptionTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/MissingOptionExceptionTest.java:[31,48] cannot find symbol [ERROR] symbol: class MissingOptionException [ERROR] location: class org.apache.commons.cli.MissingOptionExceptionTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-cli:commons-cli:1.2,org\apache\commons\cli\OptionBuilder.java,OptionBuilderTest,compile,cannot_find_symbol,"nhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/OptionBuilderTest.java:[92,9] cannot find symbol [ERROR] symbol: variable OptionBuilder [ERROR] location: class org.apache.commons.cli.OptionBuilderTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/OptionBuilderTest.java:[94,20] cannot find symbol [ERROR] symbol: variable OptionBuilder [ERROR] location: class org.apache.commons.cli.OptionBuilderTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-cli:commons-cli:1.2,org\apache\commons\cli\OptionGroup.java,OptionGroupTest,compile,cannot_find_symbol,"oupTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/OptionGroupTest.java:[96,9] cannot find symbol [ERROR] symbol: class Option [ERROR] location: class org.apache.commons.cli.OptionGroupTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/OptionGroupTest.java:[96,30] cannot find symbol [ERROR] symbol: class Option [ERROR] location: class org.apache.commons.cli.OptionGroupTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-cli:commons-cli:1.2,org\apache\commons\cli\Options.java,OptionsTest,compile,cannot_find_symbol,"commons.cli.OptionsTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/OptionsTest.java:[95,9] cannot find symbol [ERROR] symbol: class Option [ERROR] location: class org.apache.commons.cli.OptionsTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_initial/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/OptionsTest.java:[95,29] cannot find symbol [ERROR] symbol: class Option [ERROR] location: class org.apache.commons.cli.OptionsTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
