group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,tests_passed,tests_total,percentage_passed,jacoco_success
commons-beanutils,commons-beanutils,1.9.4,LLM,,,,,,,,,,TRUE
commons-cli,commons-cli,1.2,LLM,33.99,29.87,36.81,31.08,41.18,85,80,130,61.54,TRUE
commons-codec,commons-codec,1.15,LLM,0,0,0,0,0,0,,,,TRUE
commons-collections,commons-collections,3.2.2,LLM,,,,,,,,,,FALSE
org.apache.commons,commons-collections4,4.4,LLM,,,,,,,,,,FALSE
org.apache.commons,commons-configuration2,2.1.1,LLM,,,,,,,,,,TRUE
org.apache.commons,commons-csv,1.8,LLM,4.93,2.43,5.67,4.14,8.72,40,41,47,87.23,TRUE
commons-digester,commons-digester,2.1,LLM,,,,,,,,,,FALSE
org.apache.commons,commons-exec,1.3,LLM,42.64,38.02,41.46,37.47,51.83,63.33,94,178,52.81,TRUE
commons-fileupload,commons-fileupload,1.4,LLM,,,,,,,,,,TRUE
org.apache.commons,commons-io,1.3.2,LLM,,,,,,,,,,TRUE
org.apache.commons,commons-jexl3,3.1,LLM,,,,,,,,,,FALSE
commons-lang,commons-lang,2.6,LLM,,,,,,,,,,FALSE
org.apache.commons,commons-lang3,3.12.0,LLM,,,,,,,,,,TRUE
commons-logging,commons-logging,1.2,LLM,,,,,,,,,,FALSE
org.apache.commons,commons-math3,3.6.1,LLM,,,,,,,,,,TRUE
commons-net,commons-net,3.1,LLM,,,,,,,,,,TRUE
commons-pool,commons-pool,1.6,LLM,,,,,,,,,,FALSE
org.apache.commons,commons-pool2,2.11.1,LLM,,,,,,,,,,TRUE
org.apache.commons,commons-text,1.10.0,LLM,,,,,,,,,,TRUE
commons-validator,commons-validator,1.7,LLM,,,,,,,,,,TRUE
org.jooq,jooq,3.14.16,LLM,,,,,,,,,,TRUE
org.json,json,20250517,LLM,,,,,,,,,,TRUE
org.jsoup,jsoup,1.15.3,LLM,,,,,,,187,305,61.31,TRUE
