group_id,artifact_id,version,original_java_files,testable_java_sources
io.springfox,springfox-swagger2,3.0.0,43,34
org.codehaus.jettison,jettison,1.1,37,34
org.glassfish.jaxb,jaxb-core,4.0.5,82,34
org.osgi,org.osgi.core,6.0.0,130,34
org.ow2.asm,asm,9.3,35,34
net.minidev,json-smart,2.3,40,33
org.reflections,reflections,0.9.11,36,32
io.get-coursier,interface,1.0.16,31,31
org.jetbrains.kotlin,kotlin-stdlib,2.2.0,32,30
org.glassfish,javax.json,1.0.4,48,27
jakarta.jms,jakarta.jms-api,3.1.0,82,26
org.apache.commons,commons-exec,1.3,32,26
org.spockframework,spock-spring,2.3-groovy-4.0,35,25
com.typesafe.akka,akka-actor_2.12,2.5.23,36,24
org.slf4j,log4j-over-slf4j,2.0.16,30,24
software.amazon.smithy,smithy-aws-endpoints,1.65.0,24,24
commons-fileupload,commons-fileupload,1.4,39,23
io.opentelemetry,opentelemetry-context,1.44.1,29,23
io.prometheus,simpleclient,0.16.0,28,23
org.ow2.asm,asm-commons,9.2,24,23
org.scala-lang,scala3-library_3,3.3.1,25,23
software.amazon.jsii,jsii-runtime,1.85.0,33,23
org.json,json,20250517,26,22
jakarta.json,jakarta.json-api,2.1.3,36,21
jakarta.xml.ws,jakarta.xml.ws-api,4.0.2,79,21
software.amazon.smithy,smithy-aws-iam-traits,1.65.0,21,21
com.google.api.grpc,proto-google-iam-v1,1.49.1,33,19
commons-cli,commons-cli,1.2,20,19
jakarta.activation,jakarta.activation-api,2.1.3,29,19
com.github.kstyrc,embedded-redis,0.6,22,18
com.github.luben,zstd-jni,1.5.2-1,19,18
org.elasticsearch.client,elasticsearch-rest-client,9.1.2,22,18
com.fasterxml.jackson.dataformat,jackson-dataformat-properties,2.13.3,20,17
com.novocode,junit-interface,0.11,18,17
org.ow2.asm,asm-util,9.2,19,17
com.fasterxml.jackson.jaxrs,jackson-jaxrs-base,2.9.8,21,16
commons-pool,commons-pool,1.6,22,16
com.typesafe.akka,akka-actor_2.11,2.4.20,26,16
com.google.dagger,dagger,2.27,41,15
org.fusesource.jansi,jansi,2.4.0,19,15
org.skyscreamer,jsonassert,2.0-rc1,18,15
org.apache.camel,camel-test-spring,3.7.0,23,14
org.apache.groovy,groovy-sql,4.0.4,20,14
org.codehaus.groovy,groovy-sql,3.0.7,20,14
org.hjson,hjson,3.0.0,18,14
com.fasterxml.jackson.dataformat,jackson-dataformat-smile,2.10.4,16,13
commons-logging,commons-logging,1.2,14,13
org.codehaus.groovy,groovy-test,3.0.17,15,13
org.openapitools,jackson-databind-nullable,0.2.6,13,13
io.dropwizard.metrics,metrics-jvm,4.2.19,12,12
org.apache.logging.log4j,log4j-jul,2.17.2,13,12
org.ow2.asm,asm-analysis,9.2,13,12
io.grpc,grpc-stub,1.62.2,17,11
io.micrometer,micrometer-registry-prometheus,1.15.4,13,11
jakarta.servlet.jsp.jstl,jakarta.servlet.jsp.jstl-api,3.0.0,17,11
software.amazon.smithy,smithy-aws-cloudformation-traits,1.65.0,12,11
software.amazon.smithy,smithy-waiters,1.65.0,11,11
jakarta.transaction,jakarta.transaction-api,2.0.1,19,10
org.apache.camel,camel-test,3.7.0,10,10
org.apache.commons,commons-csv,1.8,12,9
org.apache.logging.log4j,log4j-web,2.17.1,12,9
org.scala-sbt,test-interface,1,29,9
org.springdoc,springdoc-openapi-ui,1.7.0,10,9
com.fasterxml.jackson.module,jackson-module-jaxb-annotations,2.9.8,9,8
com.google.protobuf,protobuf-java-util,4.33.0,8,8
org.apache.logging.log4j,log4j-slf4j18-impl,2.11.1,9,8
com.fasterxml.jackson.dataformat,jackson-dataformat-cbor,2.6.7,7,7
org.osgi,org.osgi.service.component.annotations,1.3.0,13,7
org.testcontainers,postgresql,1.21.3,7,7
com.baomidou,mybatis-plus-boot-starter,3.5.2,10,6
com.typesafe.akka,akka-http_2.12,10.1.11,8,6
org.scala-lang,scala3-compiler_3,3.3.1,6,6
org.slf4j,jcl-over-slf4j,2.0.17,8,6
com.fasterxml.jackson.core,jackson-annotations,2.9.0,44,5
com.fasterxml.jackson.jaxrs,jackson-jaxrs-json-provider,2.9.8,9,5
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,6,5
com.fasterxml.jackson.module,jackson-module-parameter-names,2.13.4,4,4
com.squareup.retrofit2,converter-gson,3.0.0,5,4
io.grpc,grpc-context,1.27.2,4,4
io.swagger.core.v3,swagger-annotations,2.2.8,47,4
org.jetbrains,annotations,26.0.2,31,4
org.mockito,mockito-junit-jupiter,5.14.2,5,4
software.amazon.smithy,smithy-aws-smoke-test-model,1.65.0,4,4
aopalliance,aopalliance,1.0,26,3
org.apache.logging.log4j,log4j-jcl,2.17.1,4,3
org.checkerframework,checker-qual,3.12.0,320,3
org.testcontainers,junit-jupiter,1.19.8,5,3
org.typelevel,cats-effect_2.12,3.5.4,8,3
org.typelevel,cats-effect_2.13,3.5.4,8,3
org.typelevel,cats-effect_3,3.5.4,8,3
com.github.lalyos,jfiglet,0.0.8,2,2
com.github.spotbugs,spotbugs-annotations,4.8.6,25,2
io.jsonwebtoken,jjwt-jackson,0.11.2,2,2
org.codehaus.groovy,groovy-datetime,3.0.7,2,2
org.mapstruct,mapstruct,1.6.3,50,2
org.osgi,org.osgi.service.component,1.5.1,22,2
io.grpc,grpc-protobuf,1.62.2,6,1
org.apache.kafka,kafka_2.11,2.0.0,1,1
org.hamcrest,hamcrest-core,3.0,2,1
org.hamcrest,hamcrest-library,3.0,2,1
org.kohsuke.metainf-services,metainf-services,1.7,2,1
org.osgi,org.osgi.service.metatype.annotations,1.3.0,7,1
org.scala-native,nativelib_native0.5_3,0.5.8,1,1
