group_id,artifact_id,version
aopalliance,aopalliance,1.0
com.github.lalyos,jfiglet,0.0.8
com.github.spotbugs,spotbugs-annotations,4.8.6
commons-fileupload,commons-fileupload,1.4
commons-logging,commons-logging,1.2
commons-pool,commons-pool,1.6
io.jsonwebtoken,jjwt-jackson,0.11.2
io.swagger.core.v3,swagger-annotations,2.2.8
jakarta.transaction,jakarta.transaction-api,2.0.1
commons-cli,commons-cli,1.2
org.apache.commons,commons-csv,1.8
org.checkerframework,checker-qual,3.12.0
org.hjson,hjson,3.0.0
org.json,json,20250517
org.osgi,org.osgi.service.component,1.5.1
org.osgi,org.osgi.service.component.annotations,1.3.0
org.osgi,org.osgi.service.metatype.annotations,1.3.0
org.skyscreamer,jsonassert,2.0-rc1
org.slf4j,log4j-over-slf4j,2.0.16
io.prometheus,simpleclient,0.16.0
