library,category,compile_failures
aopalliance:aopalliance:1.0,cannot_find_symbol,1
com.fasterxml.jackson.core:jackson-annotations:2.9.0,generic_type_mismatch,1
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.9.8,cannot_find_symbol,1
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.9.8,missing_import,1
com.google.dagger:dagger:2.27,generic_type_mismatch,1
commons-fileupload:commons-fileupload:1.4,cannot_find_symbol,1
commons-fileupload:commons-fileupload:1.4,missing_import,6
commons-fileupload:commons-fileupload:1.4,other_compile_error,1
commons-logging:commons-logging:1.2,cannot_find_symbol,1
commons-logging:commons-logging:1.2,missing_import,3
io.prometheus:simpleclient:0.16.0,cannot_find_symbol,1
io.prometheus:simpleclient:0.16.0,generic_type_mismatch,1
io.prometheus:simpleclient:0.16.0,missing_import,4
net.minidev:json-smart:2.3,cannot_find_symbol,1
net.minidev:json-smart:2.3,method_signature_mismatch,2
net.minidev:json-smart:2.3,unchecked_exception_not_handled,1
org.apache.commons:commons-exec:1.3,other_compile_error,1
org.apache.logging.log4j:log4j-jcl:2.17.1,method_signature_mismatch,1
org.apache.logging.log4j:log4j-slf4j18-impl:2.11.1,missing_import,1
org.apache.logging.log4j:log4j-slf4j18-impl:2.11.1,other_compile_error,1
org.hjson:hjson:3.0.0,other_compile_error,1
