library,source_file,stage,category,message
aopalliance:aopalliance:1.0,org\aopalliance\instrument\InstrumentationError.java,compile,cannot_find_symbol,"nstrumentationErrorTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/InstrumentationErrorTest.java:[23,9] cannot find symbol [ERROR] symbol: class InstrumentationError [ERROR] location: class org.aopalliance.instrument.InstrumentationErrorTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/InstrumentationErrorTest.java:[23,42] cannot find symbol [ERROR] symbol: class InstrumentationError [ERROR] location: class org.aopalliance.instrument.InstrumentationErrorTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
aopalliance:aopalliance:1.0,org\aopalliance\instrument\UndoNotSupportedException.java,compile,cannot_find_symbol,"] /C:/Users/minhn/llm-test/libraries_repair_2/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/UndoNotSupportedExceptionTest.java:[12,9] cannot find symbol [ERROR] symbol: class UndoNotSupportedException [ERROR] location: class org.aopalliance.instrument.UndoNotSupportedExceptionTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/UndoNotSupportedExceptionTest.java:[12,51] cannot find symbol [ERROR] symbol: class UndoNotSupportedException [ERROR] location: class org.aopalliance.instrument.UndoNotSupportedExceptionTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.github.lalyos:jfiglet:0.0.8,com\github\lalyos\jfiglet\JFiglet.java,compile,syntax_error,"iglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[47,62] ';' expected [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project jfiglet-llm-tests: Compilation failure: Compilation failure: [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[46,26] illegal escape character [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[47,62] ';' expected [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\DiskFileUpload.java,compile,missing_import,"5,26] package javax.servlet.http does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/DiskFileUploadTest.java:[43,43] incompatible types: java.lang.Object cannot be converted to org.apache.commons.fileupload.FileItemFactory [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/DiskFileUploadTest.java:[72,46] cannot access javax.servlet.http.HttpServletRequest [ERROR] class file for javax.servlet.http.HttpServletRequest not found [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUpload.java,compile,other_compile_error,"mmons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadTest.java:[135,5] method does not override or implement a method from a supertype [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadTest.java:[140,5] method does not override or implement a method from a supertype [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadTest.java:[145,5] method does not override or implement a method from a supertype [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUploadBase.java,structure,structure_error,"missing public class FileUploadBaseTest declaration, missing @Test method annotation"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUploadException.java,compile,generic_type_mismatch,"leupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadExceptionTest.java:[30,65] incompatible types: java.lang.Throwable cannot be converted to java.lang.String [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-fileupload-llm-tests: Compilation failure [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadExceptionTest.java:[30,65] incompatible types: java.lang.Throwable cannot be converted to java.lang.String [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\MultipartStream.java,structure,structure_error,missing @Test method annotation
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\portlet\PortletFileUpload.java,compile,missing_import,"load.FileUploadBase and method parseParameterMap(javax.portlet.ActionRequest) in org.apache.commons.fileupload.portlet.PortletFileUpload match [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/portlet/PortletFileUploadTest.java:[74,26] reference to getItemIterator is ambiguous [ERROR] both method getItemIterator(org.apache.commons.fileupload.RequestContext) in org.apache.commons.fileupload.FileUploadBase and method getItemIterator(javax.portlet.ActionRequest) in org.apache.commons.fileupload.portlet.PortletFileUpload match [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\portlet\PortletRequestContext.java,compile,missing_import,"ies_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/portlet/PortletRequestContextTest.java:[17,13] cannot find symbol [ERROR] symbol: class ActionRequest [ERROR] location: class org.apache.commons.fileupload.portlet.PortletRequestContextTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/portlet/PortletRequestContextTest.java:[22,42] cannot find symbol [ERROR] symbol: class ActionRequest [ERROR] location: class org.apache.commons.fileupload.portlet.PortletRequestContextTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\servlet\FileCleanerCleanup.java,compile,missing_import,"ers/minhn/llm-test/libraries_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/servlet/FileCleanerCleanupTest.java:[22,20] cannot find symbol [ERROR] symbol: class ServletContextEvent [ERROR] location: class org.apache.commons.fileupload.servlet.FileCleanerCleanupTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/servlet/FileCleanerCleanupTest.java:[30,17] cannot access javax.servlet.ServletContextListener [ERROR] class file for javax.servlet.ServletContextListener not found [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\servlet\ServletFileUpload.java,compile,missing_import,"ce to getItemIterator is ambiguous [ERROR] both method getItemIterator(org.apache.commons.fileupload.RequestContext) in org.apache.commons.fileupload.FileUploadBase and method getItemIterator(javax.servlet.http.HttpServletRequest) in org.apache.commons.fileupload.servlet.ServletFileUpload match [ERROR] /C:/Users/minhn/llm-test/libraries_repair_2/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/servlet/ServletFileUploadTest.java:[61,48] cannot find symbol [ERROR] symbol: class RequestContext [ERROR] location: class org.apache.commons.fileupload.servlet.ServletFileUploadTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
