group_id,artifact_id,version,classes_under_test,total_llm_calls,repair_calls,total_llm_generation_time_seconds,total_pipeline_runtime_seconds,total_prompt_tokens,total_output_tokens,num_repair_attempts
aopalliance,aopalliance,1.0,3,9,6,72.5303,116.39,12316,1667,2
com.github.lalyos,jfiglet,0.0.8,2,6,4,109.8347,146.031,14462,2874,2
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,0,15.4004,39.391,1110,431,2
commons-fileupload,commons-fileupload,1.4,23,57,34,1014.4321,1303.235,135462,25833,2
commons-logging,commons-logging,1.2,13,28,15,907.8578,1041.89,104654,22370,2
commons-pool,commons-pool,1.6,16,32,16,666.1375,823.844,112851,15770,2
io.jsonwebtoken,jjwt-jackson,0.11.2,2,6,4,97.7599,119.125,9662,2775,2
io.swagger.core.v3,swagger-annotations,2.2.8,4,4,0,25.4052,65.562,1962,719,2
jakarta.transaction,jakarta.transaction-api,2.0.1,10,14,4,70.673,167.734,11322,1790,2
org.checkerframework,checker-qual,3.12.0,3,8,5,150.8358,214.25,27162,3682,2
org.hjson,hjson,3.0.0,14,34,20,667.9544,861.953,91236,16928,2
org.json,json,20250517,22,42,20,973.0797,1284.406,142112,23310,2
org.osgi,org.osgi.service.component,1.5.1,2,6,4,31.5195,75.75,7247,742,2
org.osgi,org.osgi.service.component.annotations,1.3.0,7,7,0,32.2777,99.672,4788,798,2
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,1,0,6.4172,22.422,1290,153,2
org.skyscreamer,jsonassert,2.0-rc1,15,36,21,898.138,1084.609,96350,23346,2
org.slf4j,log4j-over-slf4j,2.0.16,24,63,39,792.1762,1113.5,104740,20254,2
io.prometheus,simpleclient,0.16.0,23,63,40,1265.5929,1529.157,178789,32286,2
commons-cli,commons-cli,1.2,19,48,29,836.7776,1150.5620,118119,21267,2
org.apache.commons,commons-csv,1.8,9,19,10,512.5718,645.0780,73170,11707,2
