group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1.0,LLM,35.82,,47.37,62.5,62.5,100,3,1,0.3333,4,3,1,0,0.75,0.25,0
com.github.lalyos,jfiglet,0.0.8,LLM,64.36,57.14,58.41,51.22,53.85,50,2,1,0.5,8,5,0,3,0.625,0,0.375
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,82.17,75,87.5,80,87.5,66.67,2,2,1,12,12,0,0,1,0,0
commons-cli,commons-cli,1.2,LLM,31.62,26.94,32.51,28.70,41.67,80.00,19,15,0.7895,93,65,24,4,0.6989,0.2581,0.0430
commons-fileupload,commons-fileupload,1.4,LLM,30.83,25.76,26.88,21.06,28.03,30.77,23,11,0.4783,65,47,17,1,0.7231,0.2615,0.0154
commons-logging,commons-logging,1.2,LLM,13.33,7.77,15.1,11.83,22.9,25.93,13,5,0.3846,55,52,3,0,0.9455,0.0545,0
commons-pool,commons-pool,1.6,LLM,5.01,4.31,5.92,4.85,7.91,13.04,16,6,0.375,44,33,11,0,0.75,0.25,0
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
io.prometheus,simpleclient,0.16.0,LLM,18.68,11.94,21.98,14.31,22.99,37.04,23,5,0.2174,29,25,4,0,0.8621,0.1379,0
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,67.7,,73.68,75,75,50,4,4,1,22,22,0,0,1,0,0
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,44.2,,70.83,80.95,80.95,81.82,10,9,0.9,19,19,0,0,1,0,0
org.apache.commons,commons-csv,1.8,LLM,36.97,21.58,37.15,26.37,51.28,86.67,9,6,0.6667,32,25,6,1,0.7812,0.1875,0.0312
org.checkerframework,checker-qual,3.12.0,LLM,54.08,62.71,55.41,57.65,76.92,42.86,3,3,1,14,10,4,0,0.7143,0.2857,0
org.hjson,hjson,3.0.0,LLM,30.89,24.41,33.22,24.41,40.71,66.67,14,9,0.6429,61,50,11,0,0.8197,0.1803,0
org.json,json,20250517,LLM,18.14,11.74,19.71,13.22,28.76,80.77,22,16,0.7273,100,65,25,10,0.65,0.25,0.1
org.osgi,org.osgi.service.component,1.5.1,LLM,22.86,,23.08,20,20,16.67,2,1,0.5,3,1,2,0,0.3333,0.6667,0
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,100,,100,100,100,100,7,7,1,19,19,0,0,1,0,0
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,100,,100,100,100,100,1,1,1,1,1,0,0,1,0,0
org.skyscreamer,jsonassert,2.0-rc1,LLM,20.81,15.52,20.74,18.18,26.45,43.75,15,7,0.4667,38,31,3,4,0.8158,0.0789,0.1053
org.slf4j,log4j-over-slf4j,2.0.16,LLM,35.99,23.48,35.92,31.6,39.26,75,24,16,0.6667,72,51,16,3,0.7083,0.2222,0.0417
