group_id,artifact_id,version,total_classes_under_test,total_llm_calls,initial_generation_calls,repair_calls,total_llm_generation_time_seconds,average_llm_generation_time_per_class_seconds,total_pipeline_runtime_seconds,average_pipeline_runtime_per_class_seconds,total_prompt_tokens,total_output_tokens,number_of_repair_attempts
commons-cli,commons-cli,1.2,19,50,19,31,934.1202,49.1642,1217.235,64.065,118918,23425,2
com.github.spotbugs,spotbugs-annotations,4.8.6,2,3,2,1,27.5382,13.7691,57.844,28.922,3142,749,2
com.squareup.retrofit2,converter-gson,3.0.0,4,12,4,8,171.7292,42.9323,212.875,53.2188,17931,4778,2
commons-logging,commons-logging,1.2,13,31,13,18,770.0701,59.2362,1069.438,82.2645,98392,19476,2
io.jsonwebtoken,jjwt-jackson,0.11.2,2,6,2,4,177.8972,88.9486,337.563,168.7815,13783,3345,2
io.swagger.core.v3,swagger-annotations,2.2.8,4,6,4,2,62.6904,15.6726,138.281,34.5703,5350,1299,2
jakarta.transaction,jakarta.transaction-api,2.0.1,10,19,10,9,129.2434,12.9243,373.407,37.3407,21529,2932,2
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,5,15,5,10,340.2889,68.0578,504.9380,100.9876,34732,9053,2
org.checkerframework,checker-qual,3.12.0,3,8,3,5,159.3720,53.1240,251.9380,83.9793,22190,4058,2
org.osgi,org.osgi.service.component,1.5.1,2,6,2,4,56.4534,28.2267,139.8600,69.9300,7614,895,2
org.osgi,org.osgi.service.component.annotations,1.3.0,7,13,7,6,102.7163,14.6738,214.8590,30.6941,12729,1984,2
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,1,1,0,14.5513,14.5513,46.7350,46.7350,1316,290,2
org.hjson,hjson,3.0.0,14,36,14,22,788.5308,56.3236,1025.9060,73.2790,98526,20053,2
org.ow2.asm,asm-analysis,9.2,12,31,12,19,800.3888,66.6991,1173.0780,97.7565,99515,20234,2
software.amazon.smithy,smithy-aws-smoke-test-model,1.65.0,4,12,4,8,190.0408,47.5102,251.7030,62.9257,21351,5118,2
org.json,json,20250517,22,50,20,30,1431.2517,65.0569,2897.2660,131.6939,140553,26144,2
org.slf4j,log4j-over-slf4j,2.0.16,24,67,24,43,836.0921,34.8372,1678.3130,69.9297,107929,21706,2
org.apache.commons,commons-csv,1.8,9,18,9,9,444.2831,49.3648,571.8440,63.5382,56763,10777,2
aopalliance,aopalliance,1.0,3,9,3,6,68.8807,22.9602,117.7810,39.2603,10676,1762,2
com.github.lalyos,jfiglet,0.0.8,2,6,2,4,129.2818,64.6409,175.8120,87.9060,14255,3426,2
