group_id,artifact_id,version,total_classes_under_test,total_llm_calls,initial_generation_calls,repair_calls,total_llm_generation_time_seconds,average_llm_generation_time_per_class_seconds,total_pipeline_runtime_seconds,average_pipeline_runtime_per_class_seconds,total_prompt_tokens,total_output_tokens,number_of_repair_attempts
aopalliance,aopalliance,1,3,3,3,0,18.2012,6.0671,40.171,13.3903,1819,499,0
com.github.lalyos,jfiglet,0.0.8,2,2,2,0,33.6926,16.8463,63.375,31.6875,2821,951,0
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,2,0,12.4163,6.2081,40.859,20.4295,1154,340,0
com.squareup.retrofit2,converter-gson,3.0.0,4,4,4,0,64.8001,16.2,91.578,22.8945,3004,1928,0
commons-cli,commons-cli,1.2,19,19,19,0,314.2443,16.5392,443.235,23.3282,32559,8480,0
commons-logging,commons-logging,1.2,13,13,13,0,393.9886,30.3068,535.672,41.2055,33283,10520,0
io.jsonwebtoken,jjwt-jackson,0.11.2,2,2,2,0,30.9573,15.4786,73.828,36.914,2157,896,0
io.swagger.core.v3,swagger-annotations,2.2.8,4,4,4,0,37.6525,9.4131,72.265,18.0662,2064,1089,0
jakarta.transaction,jakarta.transaction-api,2.0.1,10,10,10,0,67.138,6.7138,189.766,18.9766,5939,1685,0
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,5,5,5,0,92.9129,18.5826,158.422,31.6844,5420,2541,0
org.checkerframework,checker-qual,3.12.0,3,3,3,0,44.3683,14.7894,85.891,28.6303,6242,1139,0
org.hjson,hjson,3.0.0,14,14,14,0,293.51,20.965,402.953,28.7824,25765,7944,0
org.json,json,20250517,22,22,22,0,379.4378,17.2472,686.671,31.2123,50816,9661,0
org.osgi,org.osgi.service.component,1.5.1,2,2,2,0,17.4683,8.7341,42.406,21.203,1515,485,0
org.osgi,org.osgi.service.component.annotations,1.3.0,7,7,7,0,42.6854,6.0979,90.984,12.9977,4968,1140,0
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,1,1,0,9.8378,9.8378,25.921,25.921,1316,293,0
org.ow2.asm,asm-analysis,9.2,12,12,12,0,319.4985,26.6249,380.922,31.7435,31808,8411,0
org.slf4j,log4j-over-slf4j,2.0.16,24,24,24,0,268.831,11.2013,545.828,22.7428,20011,7628,0
software.amazon.smithy,smithy-aws-smoke-test-model,1.65.0,4,4,4,0,55.3273,13.8318,68.672,17.168,3562,1603,0
org.apache.commons,commons-csv,1.8,9,9,9,0,199.8401,22.2045,249.7660,27.7518,21954,4989,0
