group_id,artifact_id,version,total_classes_under_test,total_llm_calls,initial_generation_calls,repair_calls,total_llm_generation_time_seconds,average_llm_generation_time_per_class_seconds,total_pipeline_runtime_seconds,average_pipeline_runtime_per_class_seconds,total_prompt_tokens,total_output_tokens,number_of_repair_attempts
aopalliance,aopalliance,1,3,9,3,6,115.5197,38.5066,209.297,69.7657,12090,2166,2
com.github.lalyos,jfiglet,0.0.8,2,6,2,4,212.155,106.0775,300.313,150.1565,16893,4220,2
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,2,0,19.1355,9.5677,62.547,31.2735,1154,400,2
com.squareup.retrofit2,converter-gson,3.0.0,4,12,4,8,248.6512,62.1628,327.547,81.8867,16657,5169,2
commons-cli,commons-cli,1.2,19,52,19,33,1410.6196,74.2431,2119.875,111.5724,134049,26732,2
commons-logging,commons-logging,1.2,13,31,13,18,637.0051,49.0004,1305.75,100.4423,96700,15217,2
io.jsonwebtoken,jjwt-jackson,0.11.2,2,6,2,4,100.6619,50.331,142.437,71.2185,11554,2778,2
io.swagger.core.v3,swagger-annotations,2.2.8,4,6,4,2,44.4464,11.1116,89.563,22.3907,5372,1188,2
jakarta.transaction,jakarta.transaction-api,2.0.1,10,15,10,5,83.8092,8.3809,242.781,24.2781,15460,2045,2
org.apache.commons,commons-csv,1.8,9,16,8,8,350.4937,38.9437,616.937,68.5486,47998,8702,2
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,5,15,5,10,312.2354,62.4471,472.75,94.55,34425,8234,2
org.checkerframework,checker-qual,3.12.0,3,6,3,3,115.8236,38.6079,214.735,71.5783,16836,2864,2
org.hjson,hjson,3.0.0,14,36,14,22,739.7902,52.8422,914.39,65.3136,92778,19248,2
org.json,json,20250517,22,56,22,34,1057.2364,48.0562,1680.906,76.4048,160472,26105,2
org.osgi,org.osgi.service.component,1.5.1,2,6,2,4,42.119,21.0595,66.688,33.344,7047,1092,2
org.osgi,org.osgi.service.component.annotations,1.3.0,7,14,7,7,91.9888,13.1413,163.984,23.4263,14415,2353,2
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,3,1,2,41.359,41.359,49.968,49.968,5484,1119,2
org.ow2.asm,asm-analysis,9.2,12,33,12,21,743.5197,61.96,912.797,76.0664,107015,18408,2
org.slf4j,log4j-over-slf4j,2.0.16,24,71,24,47,821.3731,34.2239,1313.984,54.7493,122494,20110,2
software.amazon.smithy,smithy-aws-smoke-test-model,1.65.0,4,12,4,8,180.0743,45.0186,230.032,57.508,22471,4840,2
net.minidev,json-smart,2.3,33,87,32,55,1659.2895,50.2815,2454.485,74.3783,220326,42688,2
