group_id,artifact_id,version,total_classes_under_test,total_llm_calls,repair_calls,total_llm_generation_time_seconds,total_pipeline_runtime_seconds,total_prompt_tokens,total_output_tokens,number_of_repair_attempts
aopalliance,aopalliance,1.0,3,6,3,66.4631,106.5000,7221,1387,1
com.github.lalyos,jfiglet,0.0.8,2,4,2,79.2279,132.9690,10142,1593,1
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,0,20.7406,56.0150,1476,439,1
commons-fileupload,commons-fileupload,1.4,23,42,19,589.0585,1025.4060,97798,14551,1
commons-logging,commons-logging,1.2,13,22,9,428.8494,633.9220,67510,10497,1
commons-pool,commons-pool,1.6,16,21,5,346.1095,950.4070,62123,8401,1
io.grpc,grpc-protobuf,1.62.2,1,2,1,35.3178,41.0460,4759,923,1
io.jsonwebtoken,jjwt-jackson,0.11.2,2,4,2,65.3212,117.8440,6936,1802,1
io.swagger.core.v3,swagger-annotations,2.2.8,4,7,3,61.2460,117.8910,8787,1631,1
jakarta.transaction,jakarta.transaction-api,2.0.1,10,12,2,58.9544,293.4060,11557,1422,1
commons-cli,commons-cli,1.2,19,34,15,582.5204,819.7350,79059,14454,1
org.apache.commons,commons-csv,1.8,9,13,4,234.8264,296.6870,38888,5490,1
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,5,9,4,153.4757,256.2660,16159,4100,1
org.checkerframework,checker-qual,3.12.0,3,6,3,124.5381,201.0470,17972,3033,1
org.hjson,hjson,3.0.0,14,24,10,411.5355,537.8130,56913,10476,1
org.json,json,20250517,22,34,12,545.0085,800.9380,93904,13122,1
org.osgi,org.osgi.service.component,1.5.1,2,4,2,25.7347,57.9690,5625,602,1
org.osgi,org.osgi.service.component.annotations,1.3.0,7,11,4,71.1951,138.5780,12699,1783,1
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,2,1,19.1024,40.6720,4811,434,1
org.skyscreamer,jsonassert,2.0-rc1,15,25,10,452.0479,591.0000,62596,11548,1
org.slf4j,log4j-over-slf4j,2.0.16,24,43,19,515.3259,870.5000,67874,13287,1
io.prometheus,simpleclient,0.16.0,23,44,21,913.7971,1263.0470,125829,22537,1
