group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1,LLM,52.22,,52.17,40,40,33.33,3,1,0.3333,6,3,3,0,0.5,0.5,0
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,81.4,100,87.5,80,75,66.67,2,2,1,11,11,0,0,1,0,0
com.squareup.retrofit2,converter-gson,3.0.0,LLM,9.89,0,15.22,16.67,20,50,4,2,0.5,6,1,5,0,0.1667,0.8333,0
commons-cli,commons-cli,1.2,LLM,18.14,13.56,19.11,15.99,24.02,70,19,8,0.4211,49,40,4,5,0.8163,0.0816,0.102
commons-logging,commons-logging,1.2,LLM,7.69,3.97,9.59,8.47,17.17,33.33,13,5,0.3846,40,32,3,5,0.8,0.075,0.125
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,17.34,0,23.81,31.25,38.46,33.33,2,1,0.5,3,2,0,1,0.6667,0,0.3333
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,56.25,,57.89,56.25,56.25,37.5,4,3,0.75,18,18,0,0,1,0,0
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,47.79,,62.5,71.43,71.43,72.73,10,8,0.8,21,17,4,0,0.8095,0.1905,0
org.apache.commons,commons-csv,1.8,LLM,24.91,10.94,24.55,12.99,29.74,60,9,7,0.7778,33,25,3,5,0.7576,0.0909,0.1515
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,LLM,18.23,10.29,25.17,20.65,32.69,60,5,2,0.4,18,15,3,0,0.8333,0.1667,0
org.checkerframework,checker-qual,3.12.0,LLM,24.83,18.64,22.51,21.18,38.46,28.57,3,2,0.6667,12,9,3,0,0.75,0.25,0
org.hjson,hjson,3.0.0,LLM,10.8,6.4,11.89,11.1,21.43,54.17,14,8,0.5714,51,42,9,0,0.8235,0.1765,0
org.json,json,20250517,LLM,20.53,18.42,21.96,15.03,28.54,57.69,22,13,0.5909,72,55,15,2,0.7639,0.2083,0.0278
org.osgi,org.osgi.service.component,1.5.1,LLM,45.71,,46.15,40,40,16.67,2,1,0.5,5,4,1,0,0.8,0.2,0
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,100,,100,100,100,100,7,7,1,18,17,0,1,0.9444,0,0.0556
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,100,,100,100,100,100,1,1,1,10,10,0,0,1,0,0
org.ow2.asm,asm-analysis,9.2,LLM,7.01,5.91,7.83,7.1,21.95,46.15,12,3,0.25,20,16,4,0,0.8,0.2,0
org.slf4j,log4j-over-slf4j,2.0.16,LLM,28.11,13.04,26.81,20.35,26.99,62.5,24,11,0.4583,66,32,28,6,0.48,0.42,0.0909
software.amazon.smithy,smithy-aws-smoke-test-model,1.65.0,LLM,2.97,0,4.17,8.33,9.09,50,4,2,0.5,10,1,0,9,0.1,0,0.9
com.github.lalyos,jfiglet,0.0.8,LLM,10.91,3.57,13.27,4.88,15.38,50.00,2,1,0.5000,6,2,1,3,0.3333,0.1667,0.5000
