group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1,LLM,21.11,,30.43,40,40,33.33,3,1,0.3333,5,2,3,0,0.4,0.6,0
com.github.lalyos,jfiglet,0.0.8,LLM,0,0,0,0,0,0,2,1,0.5,6,0,0,6,0,0,1
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,81.4,100,87.5,80,75,66.67,2,2,1,10,10,0,0,1,0,0
com.squareup.retrofit2,converter-gson,3.0.0,LLM,16.48,16.67,19.57,11.11,13.33,25,4,1,0.25,4,2,2,0,0.5,0.5,0
commons-cli,commons-cli,1.2,LLM,15.51,10.81,17.35,14.41,22.06,55,19,6,0.3158,28,21,7,0,0.75,0.25,0
commons-logging,commons-logging,1.2,LLM,6.98,2.86,7.23,6.35,11.11,11.11,13,3,0.2308,39,22,17,0,0.5641,0.4359,0
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,1,0.5,4,0,2,2,0,0.5,0.5
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,37.5,,38.6,37.5,37.5,25,4,2,0.5,12,12,0,0,1,0,0
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,47.79,,62.5,71.43,71.43,72.73,10,8,0.8,26,21,5,0,0.8077,0.1923,0
org.apache.commons,commons-csv,1.8,LLM,5.67,2.89,6.56,4.52,9.74,33.33,9,4,0.4444,20,19,1,0,0.95,0.05,0
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,LLM,5.84,1.47,9.79,7.61,13.46,40,5,1,0.2,6,5,1,0,0.8333,0.1667,0
org.checkerframework,checker-qual,3.12.0,LLM,23.85,25.42,20.35,21.18,19.23,14.29,3,1,0.3333,8,4,4,0,0.5,0.5,0
org.hjson,hjson,3.0.0,LLM,15.79,9.48,17.44,14.01,27.86,62.5,14,8,0.5714,68,51,13,4,0.75,0.1912,0.0588
org.json,json,20250517,LLM,14.92,10.28,15.28,9.53,17.65,57.69,22,8,0.3636,68,37,19,12,0.5441,0.2794,0.1765
org.osgi,org.osgi.service.component,1.5.1,LLM,45.71,,46.15,40,40,16.67,2,1,0.5,8,7,1,0,0.875,0.125,0
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,75.21,,72.73,66.67,66.67,71.43,7,5,0.7143,20,15,1,4,0.75,0.05,0.2
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,96.43,,93.33,66.67,66.67,100,1,1,1,4,1,2,1,0.25,0.5,0.25
org.ow2.asm,asm-analysis,9.2,LLM,3.91,3.38,3.82,3.18,7.32,15.38,12,2,0.1667,14,9,4,1,0.6429,0.2857,0.0714
org.slf4j,log4j-over-slf4j,2.0.16,LLM,16.8,14.78,18.23,12.55,15.34,37.5,24,5,0.2083,28,14,14,0,0.5,0.5,0
software.amazon.smithy,smithy-aws-smoke-test-model,1.65.0,LLM,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
