group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1.0,LLM,61.11,,65.22,60.00,60.00,33.33,3,1,0.3333,5,4,1,0,0.8000,0.2000,0.0000
com.github.lalyos,jfiglet,0.0.8,LLM,0.00,0.00,0.00,0.00,0.00,0.00,2,1,0.5000,5,0,0,5,0.0000,0.0000,1.0000
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,79.84,75.00,83.33,70.00,75.00,66.67,2,2,1.0000,12,12,0,0,1.0000,0.0000,0.0000
com.squareup.retrofit2,converter-gson,3.0.0,LLM,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
commons-cli,commons-cli,1.2,LLM,17.28,13.56,17.00,15.54,22.06,65.00,19,10,0.5263,65,49,13,3,0.7538,0.2000,0.0462
commons-logging,commons-logging,1.2,LLM,26.96,20.35,29.70,23.78,45.12,70.37,13,8,0.6154,61,50,11,0,0.8197,0.1803,0.0000
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,70.39,,73.68,75.00,75.00,50.00,4,4,1.0000,22,22,0,0,1.0000,0.0000,0.0000
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,53.98,,70.83,80.95,80.95,81.82,10,9,0.9000,20,18,2,0,0.9000,0.1000,0.0000
org.apache.commons,commons-csv,1.8,LLM,36.35,22.04,36.28,24.29,46.15,86.67,9,6,0.6667,22,20,2,0,0.9091,0.0909,0.0000
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,LLM,24.25,16.18,30.77,25.00,36.54,60.00,5,2,0.4000,17,14,3,0,0.8235,0.1765,0.0000
org.checkerframework,checker-qual,3.12.0,LLM,26.29,24.58,25.11,24.71,42.31,28.57,3,2,0.6667,9,9,0,0,1.0000,0.0000,0.0000
org.hjson,hjson,3.0.0,LLM,11.43,7.70,12.16,11.10,20.36,50.00,14,8,0.5714,58,48,8,2,0.8276,0.1379,0.0345
org.json,json,20250517,LLM,14.79,11.80,15.73,10.23,20.26,57.69,22,12,0.5455,54,37,12,5,0.6852,0.2222,0.0926
org.osgi,org.osgi.service.component,1.5.1,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,82.35,,83.64,85.71,85.71,85.71,7,6,0.8571,18,18,0,0,1.0000,0.0000,0.0000
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.ow2.asm,asm-analysis,9.2,LLM,7.52,6.47,8.01,6.92,18.70,46.15,12,4,0.3333,22,14,3,5,0.6364,0.1364,0.2273
org.slf4j,log4j-over-slf4j,2.0.16,LLM,30.08,12.17,27.35,20.78,26.99,66.67,24,9,0.3750,42,28,13,1,0.6667,0.3095,0.0238
software.amazon.smithy,smithy-aws-smoke-test-model,1.65.0,LLM,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
net.minidev,json-smart,2.3,LLM,24.36,15.15,21.02,15.81,29.61,77.11,33,11,0.3333,66,50,7,9,0.7576,0.1061,0.1364
