group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1.0,LLM,17.78,,26.09,30.00,30.00,33.33,3,1,0.3333,7,3,2,2,0.4286,0.2857,0.2857
com.github.lalyos,jfiglet,0.0.8,LLM,0.00,0.00,0.00,0.00,0.00,0.00,2,1,0.5000,5,0,0,5,0.0000,0.0000,1.0000
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,79.84,75.00,83.33,70.00,75.00,66.67,2,2,1.0000,12,12,0,0,1.0000,0.0000,0.0000
com.squareup.retrofit2,converter-gson,3.0.0,LLM,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
commons-cli,commons-cli,1.2,LLM,18.22,13.98,17.94,15.99,22.55,65.00,19,11,0.5789,71,51,15,5,0.7183,0.2113,0.0704
commons-logging,commons-logging,1.2,LLM,8.02,5.56,9.79,11.24,20.54,22.22,13,6,0.4615,50,48,2,0,0.9600,0.0400,0.0000
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,70.39,,73.68,75.00,75.00,50.00,4,4,1.0000,22,22,0,0,1.0000,0.0000,0.0000
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,53.98,,70.83,80.95,80.95,81.82,10,9,0.9000,20,18,2,0,0.9000,0.1000,0.0000
org.apache.commons,commons-csv,1.8,LLM,36.17,21.73,36.18,24.11,46.15,86.67,9,6,0.6667,22,21,1,0,0.9545,0.0455,0.0000
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,LLM,18.41,11.76,25.17,21.74,32.69,60.00,5,2,0.4000,15,12,3,0,0.8000,0.2000,0.0000
org.checkerframework,checker-qual,3.12.0,LLM,45.48,44.92,43.29,41.18,57.69,42.86,3,3,1.0000,15,10,5,0,0.6667,0.3333,0.0000
org.hjson,hjson,3.0.0,LLM,8.92,5.21,9.60,9.15,17.14,45.83,14,7,0.5000,48,40,7,1,0.8333,0.1458,0.0208
org.json,json,20250517,LLM,17.78,13.26,18.90,11.83,23.31,69.23,22,14,0.6364,64,43,14,7,0.6719,0.2188,0.1094
org.osgi,org.osgi.service.component,1.5.1,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,82.35,,83.64,85.71,85.71,85.71,7,6,0.8571,18,18,0,0,1.0000,0.0000,0.0000
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.ow2.asm,asm-analysis,9.2,LLM,10.96,9.99,12.56,10.65,23.58,61.54,12,6,0.5000,27,19,7,1,0.7037,0.2593,0.0370
org.slf4j,log4j-over-slf4j,2.0.16,LLM,30.08,12.17,27.35,20.78,26.99,66.67,24,9,0.3750,42,28,13,1,0.6667,0.3095,0.0238
software.amazon.smithy,smithy-aws-smoke-test-model,1.65.0,LLM,28.22,0.00,29.17,12.50,13.64,50.00,4,1,0.2500,2,2,0,0,1.0000,0.0000,0.0000
net.minidev,json-smart,2.3,LLM,25.16,16.64,22.35,16.48,29.82,74.70,33,11,0.3333,61,50,9,2,0.8197,0.1475,0.0328
