group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1,LLM,52.22,,52.17,40,40,33.33,3,1,0.3333,7,3,4,0,0.4286,0.5714,0
com.github.lalyos,jfiglet,0.0.8,LLM,0.4,0,0.88,2.44,7.69,50,2,1,0.5,8,2,2,4,0.25,0.25,0.5
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,81.4,100,87.5,80,75,66.67,2,2,1,7,4,3,0,0.5714,0.4286,0
com.squareup.retrofit2,converter-gson,3.0.0,LLM,16.48,16.67,19.57,11.11,13.33,25,4,1,0.25,7,4,2,1,0.5714,0.2857,0.1429
commons-cli,commons-cli,1.2,LLM,25.09,18.43,27.32,23.2,35.29,75,19,11,0.5789,69,55,11,3,0.7971,0.1594,0.0435
commons-logging,commons-logging,1.2,LLM,6.55,2.54,7.36,8.63,16.16,18.52,13,5,0.3846,28,20,5,3,0.7143,0.1786,0.1071
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,24.86,0,26.19,25,30.77,33.33,2,1,0.5,4,2,1,1,0.5,0.25,0.25
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,53.95,,56.14,56.25,56.25,37.5,4,3,0.75,18,17,1,0,0.9444,0.0556,0
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,47.79,,62.5,71.43,71.43,72.73,10,8,0.8,22,20,2,0,0.9091,0.0909,0
org.apache.commons,commons-csv,1.8,LLM,23.84,9.42,20.68,12.43,27.69,60,9,4,0.4444,21,14,7,0,0.6667,0.3333,0
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,LLM,18.23,13.24,20.98,16.3,23.08,20,5,1,0.2,11,10,1,0,0.9091,0.0909,0
org.checkerframework,checker-qual,3.12.0,LLM,7.44,0,6.93,3.53,11.54,14.29,3,1,0.3333,4,3,1,0,0.75,0.25,0
org.hjson,hjson,3.0.0,LLM,9.61,6.64,10.57,10.54,18.93,50,14,7,0.5,48,37,10,1,0.7708,0.2083,0.0208
org.json,json,20250517,LLM,16.68,13.83,17.92,11.27,22.88,57.69,22,7,0.3182,57,44,11,2,0.7719,0.193,0.0351
org.osgi,org.osgi.service.component,1.5.1,LLM,45.71,,53.85,40,40,16.67,2,1,0.5,6,4,1,1,0.6667,0.1667,0.1667
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,88.24,,87.27,85.71,85.71,85.71,7,6,0.8571,21,21,0,0,1,0,0
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,100,,100,100,100,100,1,1,1,3,3,0,0,1,0,0
org.ow2.asm,asm-analysis,9.2,LLM,4.02,3.38,4.64,4.49,12.2,23.08,12,3,0.25,16,9,7,0,0.5625,0.4375,0
org.slf4j,log4j-over-slf4j,2.0.16,LLM,39.93,16.52,36.19,26.84,34.97,70.83,24,11,0.4583,47,36,11,0,0.766,0.234,0
software.amazon.smithy,smithy-aws-smoke-test-model,1.65.0,LLM,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
