library,category,compile_failures,percentage
aopalliance:aopalliance:1.0,generic_type_mismatch,1,50.00
aopalliance:aopalliance:1.0,other_compile_error,1,50.00
com.github.lalyos:jfiglet:0.0.8,syntax_error,1,100.00
com.github.spotbugs:spotbugs-annotations:4.8.6,generic_type_mismatch,1,100.00
com.squareup.retrofit2:converter-gson:3.0.0,access_modifier_error,1,25.00
com.squareup.retrofit2:converter-gson:3.0.0,cannot_find_symbol,2,50.00
com.squareup.retrofit2:converter-gson:3.0.0,unchecked_exception_not_handled,1,25.00
commons-cli:commons-cli:1.2,access_modifier_error,1,11.11
commons-cli:commons-cli:1.2,cannot_find_symbol,2,22.22
commons-cli:commons-cli:1.2,generic_type_mismatch,2,22.22
commons-cli:commons-cli:1.2,method_signature_mismatch,1,11.11
commons-cli:commons-cli:1.2,other_compile_error,2,22.22
commons-cli:commons-cli:1.2,structure_error,1,11.11
commons-logging:commons-logging:1.2,access_modifier_error,1,20.00
commons-logging:commons-logging:1.2,cannot_find_symbol,1,20.00
commons-logging:commons-logging:1.2,other_compile_error,1,20.00
commons-logging:commons-logging:1.2,structure_error,2,40.00
io.jsonwebtoken:jjwt-jackson:0.11.2,cannot_find_symbol,1,50.00
io.jsonwebtoken:jjwt-jackson:0.11.2,generic_type_mismatch,1,50.00
io.swagger.core.v3:swagger-annotations:2.2.8,access_modifier_error,1,50.00
io.swagger.core.v3:swagger-annotations:2.2.8,cannot_find_symbol,1,50.00
jakarta.transaction:jakarta.transaction-api:2.0.1,method_signature_mismatch,1,100.00
net.minidev:json-smart:2.3,access_modifier_error,1,5.26
net.minidev:json-smart:2.3,cannot_find_symbol,12,63.16
net.minidev:json-smart:2.3,generic_type_mismatch,2,10.53
net.minidev:json-smart:2.3,method_signature_mismatch,1,5.26
net.minidev:json-smart:2.3,structure_error,2,10.53
net.minidev:json-smart:2.3,unchecked_exception_not_handled,1,5.26
org.apache.commons:commons-csv:1.8,cannot_find_symbol,2,66.67
org.apache.commons:commons-csv:1.8,method_signature_mismatch,1,33.33
org.apache.logging.log4j:log4j-to-slf4j:2.17.2,cannot_find_symbol,1,33.33
org.apache.logging.log4j:log4j-to-slf4j:2.17.2,method_signature_mismatch,1,33.33
org.apache.logging.log4j:log4j-to-slf4j:2.17.2,other_compile_error,1,33.33
org.checkerframework:checker-qual:3.12.0,structure_error,1,100.00
org.hjson:hjson:3.0.0,abstract_class_or_interface_instantiation,1,16.67
org.hjson:hjson:3.0.0,cannot_find_symbol,3,50.00
org.hjson:hjson:3.0.0,method_signature_mismatch,1,16.67
org.hjson:hjson:3.0.0,other_compile_error,1,16.67
org.json:json:20250517,access_modifier_error,1,11.11
org.json:json:20250517,cannot_find_symbol,3,33.33
org.json:json:20250517,other_compile_error,2,22.22
org.json:json:20250517,structure_error,3,33.33
org.osgi:org.osgi.service.component.annotations:1.3.0,access_modifier_error,1,50.00
org.osgi:org.osgi.service.component.annotations:1.3.0,other_compile_error,1,50.00
org.osgi:org.osgi.service.component:1.5.1,access_modifier_error,1,50.00
org.osgi:org.osgi.service.component:1.5.1,method_signature_mismatch,1,50.00
org.osgi:org.osgi.service.metatype.annotations:1.3.0,access_modifier_error,1,100.00
org.ow2.asm:asm-analysis:9.2,cannot_find_symbol,3,33.33
org.ow2.asm:asm-analysis:9.2,constructor_mismatch,1,11.11
org.ow2.asm:asm-analysis:9.2,generic_type_mismatch,2,22.22
org.ow2.asm:asm-analysis:9.2,structure_error,3,33.33
org.slf4j:log4j-over-slf4j:2.0.16,abstract_class_or_interface_instantiation,1,6.67
org.slf4j:log4j-over-slf4j:2.0.16,cannot_find_symbol,10,66.67
org.slf4j:log4j-over-slf4j:2.0.16,generic_type_mismatch,1,6.67
org.slf4j:log4j-over-slf4j:2.0.16,method_signature_mismatch,2,13.33
org.slf4j:log4j-over-slf4j:2.0.16,other_compile_error,1,6.67
software.amazon.smithy:smithy-aws-smoke-test-model:1.65.0,cannot_find_symbol,3,75.00
software.amazon.smithy:smithy-aws-smoke-test-model:1.65.0,method_signature_mismatch,1,25.00
