library,source_file,test_class,stage,category,message
aopalliance:aopalliance:1.0,org\aopalliance\aop\AspectException.java,AspectExceptionTest,compile,cannot_find_symbol,"ompile) on project aopalliance: Compilation failure: Compilation failure: [ERROR] /C:/Users/minhn/llm-test/libraries_sample/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/aop/AspectExceptionTest.java:[56,9] cannot find symbol [ERROR] symbol: class ByteArrayOutputStream [ERROR] location: class org.aopalliance.aop.AspectExceptionTest [ERROR] /C:/Users/minhn/llm-test/libraries_sample/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/aop/AspectExceptionTest.java:[56,42] cannot find symbol [ERROR] symbol: class ByteArrayOutputStream [ERROR] location: class org.aopalliance.aop.AspectExceptionTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
aopalliance:aopalliance:1.0,org\aopalliance\instrument\InstrumentationError.java,InstrumentationErrorTest,compile,cannot_find_symbol,"sample/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/InstrumentationErrorTest.java:[29,5] method does not override or implement a method from a supertype [ERROR] /C:/Users/minhn/llm-test/libraries_sample/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/InstrumentationErrorTest.java:[34,5] method does not override or implement a method from a supertype [ERROR] /C:/Users/minhn/llm-test/libraries_sample/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/InstrumentationErrorTest.java:[39,5] method does not override or implement a method from a supertype [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
aopalliance:aopalliance:1.0,org\aopalliance\instrument\UndoNotSupportedException.java,UndoNotSupportedExceptionTest,compile,other_compile_error,"ation [ERROR] /C:/Users/minhn/llm-test/libraries_sample/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/UndoNotSupportedExceptionTest.java:[13,29] getType() in <anonymous org.aopalliance.instrument.UndoNotSupportedExceptionTest$1> cannot implement getType() in org.aopalliance.instrument.Instrumentation [ERROR] return type java.lang.Class<?> is not compatible with int [ERROR] /C:/Users/minhn/llm-test/libraries_sample/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/UndoNotSupportedExceptionTest.java:[12,13] method does not override or implement a method from a supertype [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.github.lalyos:jfiglet:0.0.8,com\github\lalyos\jfiglet\JFiglet.java,JFigletTest,compile,access_modifier_error,",java.lang.String) has private access in com.github.lalyos.jfiglet.JFiglet [ERROR] /C:/Users/minhn/llm-test/libraries_sample/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[57,62] incompatible types: java.util.Iterator<java.lang.Object> cannot be converted to java.util.Iterator<java.lang.String> [ERROR] /C:/Users/minhn/llm-test/libraries_sample/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[59,20] requireNextArgument(java.util.Iterator<java.lang.String>,java.lang.String) has private access in com.github.lalyos.jfiglet.JFiglet [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\disk\DiskFileItem.java,DiskFileItemTest,compile,other_compile_error,"t/libraries_sample/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/disk/DiskFileItemTest.java:[44,13] method does not override or implement a method from a supertype [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-fileupload: Compilation failure [ERROR] /C:/Users/minhn/llm-test/libraries_sample/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/disk/DiskFileItemTest.java:[44,13] method does not override or implement a method from a supertype [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUpload.java,FileUploadTest,compile,cannot_find_symbol,"ad/FileUploadTest.java:[24,39] cannot find symbol symbol: class DiskFileItemFactory location: class org.apache.commons.fileupload.FileUploadTest [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-fileupload: Compilation failure [ERROR] /C:/Users/minhn/llm-test/libraries_sample/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadTest.java:[24,39] cannot find symbol [ERROR] symbol: class DiskFileItemFactory [ERROR] location: class org.apache.commons.fileupload.FileUploadTest [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUploadBase.java,FileUploadBaseTest,structure,structure_error,"missing public class FileUploadBaseTest declaration, missing @Test method annotation"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUploadException.java,FileUploadExceptionTest,compile,cannot_find_symbol,"/llm-test/libraries_sample/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadExceptionTest.java:[48,9] cannot find symbol [ERROR] symbol: method verify(java.io.PrintWriter) [ERROR] location: class org.apache.commons.fileupload.FileUploadExceptionTest [ERROR] /C:/Users/minhn/llm-test/libraries_sample/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadExceptionTest.java:[49,9] cannot find symbol [ERROR] symbol: method verify(java.lang.Throwable) [ERROR] location: class org.apache.commons.fileupload.FileUploadExceptionTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\MultipartStream.java,MultipartStreamTest,structure,structure_error,"missing public class MultipartStreamTest declaration, missing @Test method annotation"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\portlet\PortletFileUpload.java,PortletFileUploadTest,compile,other_compile_error,"FileUploadBase and method isMultipartContent(javax.portlet.ActionRequest) in org.apache.commons.fileupload.portlet.PortletFileUpload match [ERROR] /C:/Users/minhn/llm-test/libraries_sample/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/portlet/PortletFileUploadTest.java:[65,30] reference to parseParameterMap is ambiguous [ERROR] both method parseParameterMap(org.apache.commons.fileupload.RequestContext) in org.apache.commons.fileupload.FileUploadBase and method parseParameterMap(javax.portlet.ActionRequest) in org.apache.commons.fileupload.portlet.PortletFileUpload match [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
