library,source_file,test_class,stage,category,message
aopalliance:aopalliance:1.0,org\aopalliance\instrument\InstrumentationError.java,InstrumentationErrorTest,compile,generic_type_mismatch,"n/libraries_no_repair/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/InstrumentationErrorTest.java:[15,34] incompatible types: java.lang.Object cannot be converted to org.aopalliance.instrument.Instrumentation [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/InstrumentationErrorTest.java:[20,65] <anonymous org.aopalliance.instrument.InstrumentationErrorTest$1> is not abstract and does not override abstract method getType() in org.aopalliance.instrument.Instrumentation [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
aopalliance:aopalliance:1.0,org\aopalliance\instrument\UndoNotSupportedException.java,UndoNotSupportedExceptionTest,compile,other_compile_error,"generation/libraries_no_repair/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/UndoNotSupportedExceptionTest.java:[24,19] getType() in org.aopalliance.instrument.MockInstrumentation cannot implement getType() in org.aopalliance.instrument.Instrumentation [ERROR] return type java.lang.String is not compatible with int [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/UndoNotSupportedExceptionTest.java:[23,5] method does not override or implement a method from a supertype [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.github.lalyos:jfiglet:0.0.8,com\github\lalyos\jfiglet\JFiglet.java,JFigletTest,compile,syntax_error,"ts/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[64,63] ';' expected [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[75,26] illegal escape character [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[76,63] ';' expected [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.squareup.retrofit2:converter-gson:3.0.0,retrofit2\converter\gson\GsonConverterFactory.java,GsonConverterFactoryTest,compile,access_modifier_error,"/retrofit2/converter/gson/GsonConverterFactoryTest.java:[56,36] streaming has private access in retrofit2.converter.gson.GsonConverterFactory [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project converter-gson: Compilation failure [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/com.squareup.retrofit2/converter-gson/3.0.0/src/test/java/retrofit2/converter/gson/GsonConverterFactoryTest.java:[56,36] streaming has private access in retrofit2.converter.gson.GsonConverterFactory [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.squareup.retrofit2:converter-gson:3.0.0,retrofit2\converter\gson\GsonRequestBodyConverter.java,GsonRequestBodyConverterTest,compile,cannot_find_symbol,"symbol [ERROR] symbol: method bytes() [ERROR] location: variable requestBody of type okhttp3.RequestBody [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/com.squareup.retrofit2/converter-gson/3.0.0/src/test/java/retrofit2/converter/gson/GsonRequestBodyConverterTest.java:[48,23] 'void' type not allowed here [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/com.squareup.retrofit2/converter-gson/3.0.0/src/test/java/retrofit2/converter/gson/GsonRequestBodyConverterTest.java:[60,23] 'void' type not allowed here [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.squareup.retrofit2:converter-gson:3.0.0,retrofit2\converter\gson\GsonResponseBodyConverter.java,GsonResponseBodyConverterTest,compile,unchecked_exception_not_handled,"ROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/com.squareup.retrofit2/converter-gson/3.0.0/src/test/java/retrofit2/converter/gson/GsonResponseBodyConverterTest.java:[68,24] unreported exception java.io.IOException; must be caught or declared to be thrown [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/com.squareup.retrofit2/converter-gson/3.0.0/src/test/java/retrofit2/converter/gson/GsonResponseBodyConverterTest.java:[80,22] unreported exception java.io.IOException; must be caught or declared to be thrown [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.squareup.retrofit2:converter-gson:3.0.0,retrofit2\converter\gson\GsonStreamingRequestBody.java,GsonStreamingRequestBodyTest,compile,cannot_find_symbol,"a:[36,28] cannot find symbol symbol: method readUtf8() location: variable sink of type okio.BufferedSink [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project converter-gson: Compilation failure [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/com.squareup.retrofit2/converter-gson/3.0.0/src/test/java/retrofit2/converter/gson/GsonStreamingRequestBodyTest.java:[36,28] cannot find symbol [ERROR] symbol: method readUtf8() [ERROR] location: variable sink of type okio.BufferedSink [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-cli:commons-cli:1.2,org\apache\commons\cli\CommandLine.java,CommandLineTest,structure,structure_error,missing public class CommandLineTest declaration
commons-cli:commons-cli:1.2,org\apache\commons\cli\MissingArgumentException.java,MissingArgumentExceptionTest,compile,other_compile_error,"-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-cli: Compilation failure [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/MissingArgumentExceptionTest.java:[10,9] reference to MissingArgumentException is ambiguous [ERROR] both constructor MissingArgumentException(java.lang.String) in org.apache.commons.cli.MissingArgumentException and constructor MissingArgumentException(org.apache.commons.cli.Option) in org.apache.commons.cli.MissingArgumentException match [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-cli:commons-cli:1.2,org\apache\commons\cli\MissingOptionException.java,MissingOptionExceptionTest,compile,other_compile_error,".apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-cli: Compilation failure [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_no_repair/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/MissingOptionExceptionTest.java:[13,9] reference to MissingOptionException is ambiguous [ERROR] both constructor MissingOptionException(java.lang.String) in org.apache.commons.cli.MissingOptionException and constructor MissingOptionException(java.util.List) in org.apache.commons.cli.MissingOptionException match [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
