library,source_file,stage,category,message
aopalliance:aopalliance:1.0,org\aopalliance\instrument\UndoNotSupportedException.java,compile,cannot_find_symbol,"/llm-test/libraries_final_openrouter/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/UndoNotSupportedExceptionTest.java:[31,41] cannot find symbol [ERROR] symbol: class UndoNotSupportedException [ERROR] location: class org.aopalliance.instrument.UndoNotSupportedExceptionTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/UndoNotSupportedExceptionTest.java:[36,19] cannot find symbol [ERROR] symbol: class UndoNotSupportedException [ERROR] location: class org.aopalliance.instrument.UndoNotSupportedExceptionTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-logging:commons-logging:1.2,org\apache\commons\logging\impl\AvalonLogger.java,compile,cannot_find_symbol,"mpl.AvalonLoggerTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/AvalonLoggerTest.java:[464,31] cannot find symbol [ERROR] symbol: class TestLogger [ERROR] location: class org.apache.commons.logging.impl.AvalonLoggerTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/AvalonLoggerTest.java:[465,22] cannot find symbol [ERROR] symbol: class TestLogger [ERROR] location: class org.apache.commons.logging.impl.AvalonLoggerTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-logging:commons-logging:1.2,org\apache\commons\logging\impl\Log4JLogger.java,compile,missing_import,"ogging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/Log4JLoggerTest.java:[6,24] package org.apache.log4j does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/Log4JLoggerTest.java:[7,24] package org.apache.log4j does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/Log4JLoggerTest.java:[17,68] cannot access org.apache.log4j.Logger [ERROR] class file for org.apache.log4j.Logger not found [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-logging:commons-logging:1.2,org\apache\commons\logging\impl\LogKitLogger.java,compile,missing_import,"[ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-logging-llm-tests: Compilation failure: Compilation failure: [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/LogKitLoggerTest.java:[5,22] package org.apache.log does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/LogKitLoggerTest.java:[6,22] package org.apache.log does not exist [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-logging:commons-logging:1.2,org\apache\commons\logging\impl\ServletContextCleaner.java,compile,missing_import,"o execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-logging-llm-tests: Compilation failure: Compilation failure: [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/ServletContextCleanerTest.java:[5,21] package javax.servlet does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/ServletContextCleanerTest.java:[6,21] package javax.servlet does not exist [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
io.prometheus:simpleclient:0.16.0,io\prometheus\client\Collector.java,compile,generic_type_mismatch,"dicate<java.lang.String> [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/CollectorTest.java:[210,51] incompatible types: java.util.function.Predicate<java.lang.String> cannot be converted to io.prometheus.client.Predicate<java.lang.String> [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/CollectorTest.java:[226,31] incompatible types: java.util.function.Predicate<java.lang.String> cannot be converted to io.prometheus.client.Predicate<java.lang.String> [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
io.prometheus:simpleclient:0.16.0,io\prometheus\client\Counter.java,compile,missing_import,"cFamilySamples [ERROR] location: class io.prometheus.client.CounterTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/CounterTest.java:[117,9] cannot find symbol [ERROR] symbol: class MetricFamilySamples [ERROR] location: class io.prometheus.client.CounterTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/CounterTest.java:[129,14] cannot find symbol [ERROR] symbol: class MetricFamilySamples [ERROR] location: class io.prometheus.client.CounterTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
io.prometheus:simpleclient:0.16.0,io\prometheus\client\Enumeration.java,compile,missing_import,"ava:[121,14] cannot find symbol [ERROR] symbol: class MetricFamilySamples [ERROR] location: class io.prometheus.client.EnumerationTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/EnumerationTest.java:[123,9] cannot find symbol [ERROR] symbol: class MetricFamilySamples [ERROR] location: class io.prometheus.client.EnumerationTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/EnumerationTest.java:[125,41] package MetricFamilySamples does not exist [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
io.prometheus:simpleclient:0.16.0,io\prometheus\client\Histogram.java,compile,cannot_find_symbol,"ples [ERROR] location: class io.prometheus.client.HistogramTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/HistogramTest.java:[238,14] cannot find symbol [ERROR] symbol: class MetricFamilySamples [ERROR] location: class io.prometheus.client.HistogramTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/HistogramTest.java:[240,9] cannot find symbol [ERROR] symbol: class MetricFamilySamples [ERROR] location: class io.prometheus.client.HistogramTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
io.prometheus:simpleclient:0.16.0,io\prometheus\client\Info.java,compile,missing_import,"ies_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/InfoTest.java:[95,28] package MetricFamilySamples does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/InfoTest.java:[105,14] cannot find symbol [ERROR] symbol: class MetricFamilySamples [ERROR] location: class io.prometheus.client.InfoTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/InfoTest.java:[108,41] package MetricFamilySamples does not exist [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
io.prometheus:simpleclient:0.16.0,io\prometheus\client\SimpleCollector.java,compile,missing_import,"kage MetricFamilySamples does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/SimpleCollectorTest.java:[196,14] cannot find symbol [ERROR] symbol: class MetricFamilySamples [ERROR] location: class io.prometheus.client.SimpleCollectorTest [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/io.prometheus/simpleclient/0.16.0/src/test/java/io/prometheus/client/SimpleCollectorTest.java:[198,9] cannot find symbol [ERROR] symbol: class MetricFamilySamples [ERROR] location: class io.prometheus.client.SimpleCollectorTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
org.apache.commons:commons-exec:1.3,org\apache\commons\exec\launcher\OS2CommandLauncher.java,compile,other_compile_error,"e(int) in org.apache.commons.exec.launcher.CommandLauncher [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-exec-llm-tests: Compilation failure [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/org.apache.commons/commons-exec/1.3/src/test/java/org/apache/commons/exec/launcher/OS2CommandLauncherTest.java:[17,20] org.apache.commons.exec.launcher.OS2CommandLauncherTest.StubCommandLauncher is not abstract and does not override abstract method isFailure(int) in org.apache.commons.exec.launcher.CommandLauncher [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
org.apache.logging.log4j:log4j-jcl:2.17.1,org\apache\logging\log4j\jcl\Log4jLog.java,compile,method_signature_mismatch,"ng) [ERROR] method org.apache.logging.log4j.spi.ExtendedLogger.logIfEnabled(java.lang.String,org.apache.logging.log4j.Level,org.apache.logging.log4j.Marker,java.lang.String,java.lang.Object...) is not applicable [ERROR] (argument mismatch; java.lang.Object cannot be converted to java.lang.String) [ERROR] method org.apache.logging.log4j.spi.ExtendedLogger.logIfEnabled(java.lang.String,org.apache.logging.log4j.Level,org.apache.logging.log4j.Marker,java.lang.String,org.apache.logging.log4j.util.Supplier<?>...) is not applicable [ERROR] (argument mismatch; java.lang.Object cannot be converted to java.lang.String) [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
org.apache.logging.log4j:log4j-slf4j18-impl:2.11.1,org\apache\logging\slf4j\EventDataConverter.java,compile,missing_import,"rs/minhn/llm-test/libraries_final_openrouter/org.apache.logging.log4j/log4j-slf4j18-impl/2.11.1/src/test/java/org/apache/logging/slf4j/EventDataConverterTest.java:[9,21] package org.slf4j.ext does not exist [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project log4j-slf4j18-impl-llm-tests: Compilation failure [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/org.apache.logging.log4j/log4j-slf4j18-impl/2.11.1/src/test/java/org/apache/logging/slf4j/EventDataConverterTest.java:[9,21] package org.slf4j.ext does not exist [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
org.apache.logging.log4j:log4j-slf4j18-impl:2.11.1,org\apache\logging\slf4j\Log4jLogger.java,compile,other_compile_error,"g.apache.logging.log4j.spi.ExtendedLogger match [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/org.apache.logging.log4j/log4j-slf4j18-impl/2.11.1/src/test/java/org/apache/logging/slf4j/Log4jLoggerTest.java:[486,28] reference to isEnabled is ambiguous [ERROR] both method isEnabled(org.apache.logging.log4j.Level,org.apache.logging.log4j.Marker,java.lang.String,java.lang.Throwable) in org.apache.logging.log4j.spi.ExtendedLogger and method isEnabled(org.apache.logging.log4j.Level,org.apache.logging.log4j.Marker,java.lang.String,java.lang.Object...) in org.apache.logging.log4j.spi.ExtendedLogger match [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
org.hjson:hjson:3.0.0,org\hjson\HjsonDsf.java,compile,other_compile_error,"er/org.hjson/hjson/3.0.0/src/test/java/org/hjson/HjsonDsfTest.java:[327,27] stringify(org.hjson.JsonValue) in <anonymous org.hjson.HjsonDsfTest$5> cannot implement stringify(org.hjson.JsonValue) in org.hjson.IHjsonDsfProvider [ERROR] overridden method does not throw java.lang.Exception [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/org.hjson/hjson/3.0.0/src/test/java/org/hjson/HjsonDsfTest.java:[326,30] parse(java.lang.String) in <anonymous org.hjson.HjsonDsfTest$5> cannot implement parse(java.lang.String) in org.hjson.IHjsonDsfProvider [ERROR] overridden method does not throw java.lang.Exception [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.fasterxml.jackson.core:jackson-annotations:2.9.0,com\fasterxml\jackson\annotation\SimpleObjectIdResolver.java,compile,generic_type_mismatch,"java.lang.String cannot be converted to java.lang.Class<?> [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/com.fasterxml.jackson.core/jackson-annotations/2.9.0/src/test/java/com/fasterxml/jackson/annotation/SimpleObjectIdResolverTest.java:[35,30] incompatible types: java.lang.String cannot be converted to java.lang.Class<?> [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/com.fasterxml.jackson.core/jackson-annotations/2.9.0/src/test/java/com/fasterxml/jackson/annotation/SimpleObjectIdResolverTest.java:[58,30] incompatible types: java.lang.String cannot be converted to java.lang.Class<?> [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.9.8,com\fasterxml\jackson\jaxrs\json\JacksonJaxbJsonProvider.java,compile,missing_import,"c/test/java/com/fasterxml/jackson/jaxrs/json/JacksonJaxbJsonProviderTest.java:[6,19] package javax.ws.rs does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.9.8/src/test/java/com/fasterxml/jackson/jaxrs/json/JacksonJaxbJsonProviderTest.java:[7,24] package javax.ws.rs.core does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_final_openrouter/com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.9.8/src/test/java/com/fasterxml/jackson/jaxrs/json/JacksonJaxbJsonProviderTest.java:[8,23] package javax.ws.rs.ext does not exist [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
