group_id,artifact_id,version,classes_under_test,total_llm_calls,repair_calls,total_llm_generation_time_seconds,total_pipeline_runtime_seconds,total_prompt_tokens,total_output_tokens,num_repair_attempts
aopalliance,aopalliance,1.0,3,8,5,138.2360,229.8750,16395,11496,2
com.github.lalyos,jfiglet,0.0.8,2,4,2,226.9380,284.6400,13190,13396,2
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,0,59.0160,99.1720,1155,2005,2
commons-logging,commons-logging,1.2,13,23,10,1457.1210,1596.7810,118584,54126,2
commons-pool,commons-pool,1.6,16,31,15,1955.1220,2187.1870,324690,110935,2
io.grpc,grpc-protobuf,1.62.2,1,3,2,50.8590,99.4220,7458,5890,2
io.jsonwebtoken,jjwt-jackson,0.11.2,2,2,0,235.5470,280.8750,2340,5826,2
io.prometheus,simpleclient,0.16.0,23,51,28,1561.7650,1863.6250,196007,130465,2
io.swagger.core.v3,swagger-annotations,2.2.8,4,4,0,31.4690,86.7500,1998,1933,2
jakarta.transaction,jakarta.transaction-api,2.0.1,10,11,1,91.5940,199.3750,7343,6333,2
org.apache.commons,commons-csv,1.8,9,17,8,1416.7210,1544.8280,126668,46015,2
org.apache.commons,commons-exec,1.3,26,47,21,1441.6440,1800.0630,127016,104921,2
org.apache.logging.log4j,log4j-jcl,2.17.1,3,6,3,151.4670,210.6250,15264,12346,2
org.apache.logging.log4j,log4j-slf4j18-impl,2.11.1,8,15,7,526.6850,647.2820,48516,39231,2
org.checkerframework,checker-qual,3.12.0,3,7,4,315.1570,393.0780,30496,15916,2
org.osgi,org.osgi.service.component,1.5.1,2,4,2,33.9050,82.3130,4709,2325,2
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,1,0,9.0470,41.0150,1342,1287,2
org.skyscreamer,jsonassert,2.0-rc1,15,26,11,885.0650,1070.1250,92217,61892,2
org.slf4j,log4j-over-slf4j,2.0.16,24,30,6,625.2030,877.4850,42757,44955,2
org.json,json,20250517,22,45,23,1733.4030,2067.9070,273675,133724,2
org.hamcrest,hamcrest-library,3.0,1,1,0,5.2040,35.7030,481,521,2
org.hamcrest,hamcrest-core,3.0,1,1,0,5.8280,36.3910,479,760,2
org.osgi,org.osgi.service.component.annotations,1.3.0,7,7,0,71.6550,151.5780,4806,4459,2
org.hjson,hjson,3.0.0,14,26,12,904.5640,1098.6720,100826,79524,2
org.slf4j,jcl-over-slf4j,2.0.17,6,11,5,414.3760,596.8590,38670,28832,2
com.fasterxml.jackson.core,jackson-annotations,2.9.0,5,10,5,324.1580,469.2340,25733,22940,2
com.fasterxml.jackson.jaxrs,jackson-jaxrs-json-provider,2.9.8,5,11,6,203.0320,361.4530,29609,16459,2
commons-cli,commons-cli,1.2,19,42,23,1572.5330,2104.5940,170120,121562,2
commons-fileupload,commons-fileupload,1.4,23,53,30,1730.9820,2169.0790,213426,130164,2
jakarta.jms,jakarta.jms-api,3.1.0,26,37,11,723.4360,1017.3130,45951,39646,2
org.codehaus.groovy,groovy-datetime,3.0.7,2,4,2,599.3740,656.7040,68307,34334,2
io.grpc,grpc-context,1.27.2,4,9,5,445.9710,530.0310,59173,22597,2
com.google.dagger,dagger,2.27,15,24,9,463.5000,643.4370,36217,38347,2
net.minidev,json-smart,2.3,33,76,43,3176.6740,3690.6100,301349,246759,2
