group_id,artifact_id,version,classes_under_test,total_llm_calls,repair_calls,total_llm_generation_time_seconds,total_pipeline_runtime_seconds,total_prompt_tokens,total_output_tokens,num_repair_attempts
aopalliance,aopalliance,1.0,3,9,6,72.5303,116.39,12316,1667,2
com.github.lalyos,jfiglet,0.0.8,2,6,4,109.8347,146.031,14462,2874,2
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,0,15.4004,39.391,1110,431,2
io.jsonwebtoken,jjwt-jackson,0.11.2,2,6,4,97.7599,119.125,9662,2775,2
io.swagger.core.v3,swagger-annotations,2.2.8,4,4,0,25.4052,65.562,1962,719,2
jakarta.transaction,jakarta.transaction-api,2.0.1,10,14,4,70.673,167.734,11322,1790,2
org.checkerframework,checker-qual,3.12.0,3,8,5,150.8358,214.25,27162,3682,2
org.osgi,org.osgi.service.component,1.5.1,2,6,4,31.5195,75.75,7247,742,2
org.osgi,org.osgi.service.component.annotations,1.3.0,7,7,0,32.2777,99.672,4788,798,2
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,1,0,6.4172,22.422,1290,153,2
org.slf4j,log4j-over-slf4j,2.0.16,24,63,39,792.1762,1113.5,104740,20254,2
io.grpc,grpc-protobuf,1.62.2,1,3,2,49.6599,93.0620,5667,1150,2
org.apache.commons,commons-exec,1.3,26,72,46,1267.7289,1663.0620,165805,33078,2
org.apache.logging.log4j,log4j-jcl,2.17.1,3,9,6,223.1123,287.4060,17947,5928,2
org.apache.logging.log4j,log4j-slf4j18-impl,2.11.1,8,20,12,360.6203,483.5310,43838,9147,2
org.hamcrest,hamcrest-library,3.0,1,3,2,8.8141,21.2820,2165,187,2
org.hamcrest,hamcrest-core,3.0,1,3,2,8.9556,21.5310,2165,187,2
org.slf4j,jcl-over-slf4j,2.0.17,6,11,5,338.6993,424.7650,33108,8527,2
com.fasterxml.jackson.core,jackson-annotations,2.9.0,5,10,5,239.7471,318.1250,24075,6089,2
com.fasterxml.jackson.jaxrs,jackson-jaxrs-json-provider,2.9.8,5,14,9,183.6277,272.5310,31559,4664,2
jakarta.jms,jakarta.jms-api,3.1.0,26,54,28,452.5198,847.7970,74714,11527,2
commons-cli,commons-cli,1.2,19,49,30,978.3961,1280.0000,124027,24404,2
commons-fileupload,commons-fileupload,1.4,23,57,34,1284.6090,1606.2190,128415,23435,2
commons-logging,commons-logging,1.2,13,28,15,912.7893,1063.9370,104533,22184,2
commons-pool,commons-pool,1.6,16,31,15,657.5254,824.4530,109856,15335,2
io.prometheus,simpleclient,0.16.0,23,64,41,1308.6333,1582.5000,185781,33010,2
org.apache.commons,commons-csv,1.8,9,19,10,458.3914,578.0310,73131,10402,2
org.skyscreamer,jsonassert,2.0-rc1,15,36,21,1123.5246,1464.4690,96269,23366,2
org.json,json,20250517,22,42,20,1304.9957,1815.3590,142110,23107,2
org.hjson,hjson,3.0.0,14,34,20,788.2195,1116.6410,91204,16892,2
org.codehaus.groovy,groovy-datetime,3.0.7,2,4,2,217.0021,233.3910,20873,5069,2
io.grpc,grpc-context,1.27.2,4,7,3,520.6854,571.7650,23573,3676,2
com.google.dagger,dagger,2.27,15,39,24,532.1211,732.8280,64640,14186,2
net.minidev,json-smart,2.3,33,84,51,1915.3197,2312.4380,231478,48210,2
