group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1.0,LLM,35.82,,47.37,62.5,62.5,100,3,1,0.3333,4,3,1,0,0.75,0.25,0
com.fasterxml.jackson.core,jackson-annotations,2.9.0,LLM,7.93,6.81,7.14,7.14,8.94,17.24,5,4,0.8000,22,22,0,0,1.0000,0.0000,0.0000
com.fasterxml.jackson.jaxrs,jackson-jaxrs-json-provider,2.9.8,LLM,24.02,14.04,22.12,15.87,26.47,33.33,5,2,0.4000,7,6,0,1,0.8571,0.0000,0.1429
com.github.lalyos,jfiglet,0.0.8,LLM,64.36,57.14,58.41,51.22,53.85,50,2,1,0.5,8,5,0,3,0.625,0,0.375
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,82.17,75,87.5,80,87.5,66.67,2,2,1,12,12,0,0,1,0,0
com.google.dagger,dagger,2.27,LLM,28.23,25.29,31.67,26.83,35.44,40.00,15,6,0.4000,20,18,1,1,0.9000,0.0500,0.0500
commons-cli,commons-cli,1.2,LLM,31.62,26.94,32.51,28.70,41.67,80.00,19,15,0.7895,92,64,24,4,0.6957,0.2609,0.0435
commons-fileupload,commons-fileupload,1.4,LLM,31.34,25.76,27.82,22.13,30.13,35.90,23,12,0.5217,68,50,17,1,0.7353,0.2500,0.0147
commons-logging,commons-logging,1.2,LLM,13.33,7.77,15.10,11.83,22.90,25.93,13,5,0.3846,55,52,3,0,0.9455,0.0545,0.0000
commons-pool,commons-pool,1.6,LLM,5.08,4.31,6.06,5.20,8.57,13.04,16,6,0.3750,44,37,7,0,0.8409,0.1591,0.0000
io.grpc,grpc-protobuf,1.62.2,LLM,14.84,0.00,17.02,21.74,33.33,50.00,1,1,1.0000,5,5,0,0,1.0000,0.0000,0.0000
io.grpc,grpc-context,1.27.2,LLM,10.51,8.43,14.72,12.79,18.46,38.10,4,1,0.2500,3,3,0,0,1.0000,0.0000,0.0000
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
io.prometheus,simpleclient,0.16.0,LLM,18.68,11.94,21.98,14.31,22.99,37.04,23,4,0.1739,25,21,4,0,0.8400,0.1600,0.0000
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,67.7,,73.68,75,75,50,4,4,1,22,22,0,0,1,0,0
jakarta.jms,jakarta.jms-api,3.1.0,LLM,73.74,50.00,75.27,76.19,76.83,80.77,26,23,0.8846,72,59,13,0,0.8194,0.1806,0.0000
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,44.2,,70.83,80.95,80.95,81.82,10,9,0.9,19,19,0,0,1,0,0
net.minidev,json-smart,2.3,LLM,29.71,18.51,28.46,24.56,43.61,77.11,33,14,0.4242,87,71,16,0,0.8161,0.1839,0.0000
org.apache.commons,commons-exec,1.3,LLM,34.97,30.77,33.81,26.25,37.70,56.67,26,12,0.4615,67,42,19,6,0.6269,0.2836,0.0896
org.apache.commons,commons-csv,1.8,LLM,36.97,21.58,37.15,26.37,51.28,86.67,9,6,0.6667,32,25,6,1,0.7812,0.1875,0.0312
org.apache.logging.log4j,log4j-jcl,2.17.1,LLM,0.00,0.00,0.00,0.00,0.00,0.00,3,1,0.3333,18,0,18,0,0.0000,1.0000,0.0000
org.apache.logging.log4j,log4j-slf4j18-impl,2.11.1,LLM,15.42,7.14,21.55,17.72,23.68,87.50,8,4,0.5000,15,14,1,0,0.9333,0.0667,0.0000
org.checkerframework,checker-qual,3.12.0,LLM,54.08,62.71,55.41,57.65,76.92,42.86,3,3,1,14,10,4,0,0.7143,0.2857,0
org.codehaus.groovy,groovy-datetime,3.0.7,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
org.hamcrest,hamcrest-library,3.0,LLM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.hamcrest,hamcrest-core,3.0,LLM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.hjson,hjson,3.0.0,LLM,30.89,24.41,33.22,24.41,40.71,66.67,14,9,0.6429,61,50,11,0,0.8197,0.1803,0.0000
org.json,json,20250517,LLM,18.14,11.74,19.71,13.22,28.76,80.77,22,16,0.7273,100,65,25,10,0.6500,0.2500,0.1000
org.osgi,org.osgi.service.component,1.5.1,LLM,22.86,,23.08,20,20,16.67,2,1,0.5,3,1,2,0,0.3333,0.6667,0
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,100,,100,100,100,100,7,7,1,19,19,0,0,1,0,0
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,100,,100,100,100,100,1,1,1,1,1,0,0,1,0,0
org.skyscreamer,jsonassert,2.0-rc1,LLM,20.81,15.52,20.74,18.18,26.45,43.75,15,7,0.4667,38,31,3,4,0.8158,0.0789,0.1053
org.slf4j,log4j-over-slf4j,2.0.16,LLM,35.99,23.48,35.92,31.6,39.26,75,24,16,0.6667,72,51,16,3,0.7083,0.2222,0.0417
org.slf4j,jcl-over-slf4j,2.0.17,LLM,40.62,32.52,47.34,31.35,44.63,85.71,6,4,0.6667,38,38,0,0,1.0000,0.0000,0.0000
