library,category,compile_failures,percentage
aopalliance:aopalliance:1.0,cannot_find_symbol,1,50.00
aopalliance:aopalliance:1.0,other_compile_error,1,50.00
com.github.lalyos:jfiglet:0.0.8,method_signature_mismatch,1,100.00
com.squareup.retrofit2:converter-gson:3.0.0,cannot_find_symbol,2,100.00
"commons-cli,commons-cli,1.2",cannot_find_symbol,4,66.67
"commons-cli,commons-cli,1.2",generic_type_mismatch,1,16.67
"commons-cli,commons-cli,1.2",unchecked_exception_not_handled,1,16.67
commons-logging:commons-logging:1.2,cannot_find_symbol,1,25.00
commons-logging:commons-logging:1.2,generic_type_mismatch,1,25.00
commons-logging:commons-logging:1.2,other_compile_error,2,50.00
io.jsonwebtoken:jjwt-jackson:0.11.2,method_signature_mismatch,1,100.00
io.swagger.core.v3:swagger-annotations:2.2.8,access_modifier_error,1,100.00
jakarta.transaction:jakarta.transaction-api:2.0.1,cannot_find_symbol,1,50.00
jakarta.transaction:jakarta.transaction-api:2.0.1,unchecked_exception_not_handled,1,50.00
org.apache.commons:commons-csv:1.8,cannot_find_symbol,1,100.00
org.apache.logging.log4j:log4j-to-slf4j:2.17.2,cannot_find_symbol,1,33.33
org.apache.logging.log4j:log4j-to-slf4j:2.17.2,method_signature_mismatch,1,33.33
org.apache.logging.log4j:log4j-to-slf4j:2.17.2,missing_import,1,33.33
org.hjson:hjson:3.0.0,cannot_find_symbol,2,33.33
org.hjson:hjson:3.0.0,method_signature_mismatch,1,16.67
org.hjson:hjson:3.0.0,structure_error,2,33.33
org.hjson:hjson:3.0.0,syntax_error,1,16.67
org.osgi:org.osgi.service.component:1.5.1,access_modifier_error,1,100.00
