group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1,LLM,21.11,,30.43,40,40,33.33,3,1,0.3333,5,2,3,0,0.4,0.6,0
com.github.lalyos,jfiglet,0.0.8,LLM,0,0,0,0,0,0,2,1,0.5,6,0,0,6,0,0,1
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,81.4,100,87.5,80,75,66.67,2,2,1,11,11,0,0,1,0,0
com.squareup.retrofit2,converter-gson,3.0.0,LLM,9.89,0,15.22,16.67,20,50,4,2,0.5,6,1,5,0,0.1667,0.8333,0
commons-cli,commons-cli,1.2,LLM,18.14,13.56,19.11,15.99,24.02,70,19,8,0.4211,49,40,4,5,0.8163,0.0816,0.102
commons-logging,commons-logging,1.2,LLM,7.69,3.97,9.59,8.47,17.17,33.33,13,5,0.3846,40,32,3,5,0.8,0.075,0.125
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,17.34,0,23.81,31.25,38.46,33.33,2,1,0.5,3,2,0,1,0.6667,0,0.3333
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,56.25,,57.89,56.25,56.25,37.5,4,3,0.75,18,18,0,0,1,0,0
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,47.79,,62.5,71.43,71.43,72.73,10,8,0.8,21,17,4,0,0.8095,0.1905,0
org.apache.commons,commons-csv,1.8,LLM,4.60,1.98,5.37,3.39,7.69,33.33,9,4,0.4444,23,20,3,0,0.8696,0.1304,0.0000
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,LLM,18.23,10.29,25.17,20.65,32.69,60.00,5,2,0.4000,18,15,3,0,0.8333,0.1667,0.0000
org.checkerframework,checker-qual,3.12.0,LLM,24.83,18.64,22.51,21.18,38.46,28.57,3,2,0.6667,12,9,3,0,0.7500,0.2500,0.0000
org.osgi,org.osgi.service.component,1.5.1,LLM,45.71,,46.15,40.00,40.00,16.67,2,1,0.5000,5,4,1,0,0.8000,0.2000,0.0000
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,100.00,,100.00,100.00,100.00,100.00,7,7,1.0000,18,17,0,1,0.9444,0.0000,0.0556
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,100.00,,100.00,100.00,100.00,100.00,1,1,1.0000,10,10,0,0,1.0000,0.0000,0.0000
org.hjson,hjson,3.0.0,LLM,10.80,6.40,11.89,11.10,21.43,54.17,14,8,0.5714,51,42,9,0,0.8235,0.1765,0.0000
