library,source_file,stage,category,message
com.github.lalyos:jfiglet:0.0.8,com\github\lalyos\jfiglet\JFiglet.java,compile,cannot_find_symbol," symbol: variable File [ERROR] location: class com.github.lalyos.jfiglet.JFigletTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[103,43] cannot find symbol [ERROR] symbol: class BufferedReader [ERROR] location: class com.github.lalyos.jfiglet.JFigletTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[103,62] cannot find symbol [ERROR] symbol: class FileReader [ERROR] location: class com.github.lalyos.jfiglet.JFigletTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\disk\DiskFileItem.java,compile,other_compile_error,"pair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/disk/DiskFileItemTest.java:[44,13] method does not override or implement a method from a supertype [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-fileupload-llm-tests: Compilation failure [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/disk/DiskFileItemTest.java:[44,13] method does not override or implement a method from a supertype [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\DiskFileUpload.java,compile,missing_import,"kage javax.servlet.http does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/DiskFileUploadTest.java:[31,43] incompatible types: java.lang.Object cannot be converted to org.apache.commons.fileupload.FileItemFactory [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/DiskFileUploadTest.java:[50,9] cannot find symbol [ERROR] symbol: class HttpServletRequest [ERROR] location: class org.apache.commons.fileupload.DiskFileUploadTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUpload.java,compile,cannot_find_symbol,"dTest.java:[29,43] cannot find symbol symbol: class DiskFileItemFactory location: class org.apache.commons.fileupload.FileUploadTest [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-fileupload-llm-tests: Compilation failure [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadTest.java:[29,43] cannot find symbol [ERROR] symbol: class DiskFileItemFactory [ERROR] location: class org.apache.commons.fileupload.FileUploadTest [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUploadBase.java,structure,structure_error,"missing public class FileUploadBaseTest declaration, missing @Test method annotation"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUploadException.java,compile,generic_type_mismatch,"leupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadExceptionTest.java:[30,65] incompatible types: java.lang.Throwable cannot be converted to java.lang.String [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-fileupload-llm-tests: Compilation failure [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadExceptionTest.java:[30,65] incompatible types: java.lang.Throwable cannot be converted to java.lang.String [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\MultipartStream.java,structure,structure_error,missing @Test method annotation
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\portlet\PortletFileUpload.java,compile,missing_import,"ortletFileUploadTest.java:[46,38] cannot access javax.portlet.ActionRequest [ERROR] class file for javax.portlet.ActionRequest not found [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/portlet/PortletFileUploadTest.java:[65,30] reference to parseParameterMap is ambiguous [ERROR] both method parseParameterMap(org.apache.commons.fileupload.RequestContext) in org.apache.commons.fileupload.FileUploadBase and method parseParameterMap(javax.portlet.ActionRequest) in org.apache.commons.fileupload.portlet.PortletFileUpload match [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\portlet\PortletRequestContext.java,compile,missing_import,"ies_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/portlet/PortletRequestContextTest.java:[21,13] cannot find symbol [ERROR] symbol: class ActionRequest [ERROR] location: class org.apache.commons.fileupload.portlet.PortletRequestContextTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/portlet/PortletRequestContextTest.java:[26,42] cannot find symbol [ERROR] symbol: class ActionRequest [ERROR] location: class org.apache.commons.fileupload.portlet.PortletRequestContextTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\servlet\FileCleanerCleanup.java,compile,missing_import,"ers/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/servlet/FileCleanerCleanupTest.java:[22,20] cannot find symbol [ERROR] symbol: class ServletContextEvent [ERROR] location: class org.apache.commons.fileupload.servlet.FileCleanerCleanupTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/servlet/FileCleanerCleanupTest.java:[31,17] cannot access javax.servlet.ServletContextListener [ERROR] class file for javax.servlet.ServletContextListener not found [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\servlet\ServletFileUpload.java,compile,missing_import,"Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/servlet/ServletFileUploadTest.java:[30,24] cannot find symbol [ERROR] symbol: class HttpServletRequest [ERROR] location: class org.apache.commons.fileupload.servlet.ServletFileUploadTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/servlet/ServletFileUploadTest.java:[36,37] cannot access javax.servlet.http.HttpServletRequest [ERROR] class file for javax.servlet.http.HttpServletRequest not found [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\servlet\ServletRequestContext.java,compile,missing_import,"_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/servlet/ServletRequestContextTest.java:[21,13] cannot find symbol [ERROR] symbol: class HttpServletRequest [ERROR] location: class org.apache.commons.fileupload.servlet.ServletRequestContextTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/servlet/ServletRequestContextTest.java:[26,36] cannot find symbol [ERROR] symbol: class HttpServletRequest [ERROR] location: class org.apache.commons.fileupload.servlet.ServletRequestContextTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\util\FileItemHeadersImpl.java,compile,access_modifier_error,"g.apache.commons.fileupload.util.FileItemHeadersImpl [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/util/FileItemHeadersImplTest.java:[58,32] headerNameToValueListMap has private access in org.apache.commons.fileupload.util.FileItemHeadersImpl [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/util/FileItemHeadersImplTest.java:[59,38] headerNameToValueListMap has private access in org.apache.commons.fileupload.util.FileItemHeadersImpl [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\util\LimitedInputStream.java,compile,access_modifier_error,"it() has private access in org.apache.commons.fileupload.util.LimitedInputStream [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/util/LimitedInputStreamTest.java:[45,35] checkLimit() has private access in org.apache.commons.fileupload.util.LimitedInputStream [ERROR] /C:/Users/minhn/llm-test/libraries_repair_0/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/util/LimitedInputStreamTest.java:[54,47] checkLimit() has private access in org.apache.commons.fileupload.util.LimitedInputStream [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\util\mime\MimeUtility.java,structure,structure_error,missing @Test method annotation
