library,category,compile_failures,percentage
aopalliance:aopalliance:1.0,cannot_find_symbol,2,100.00
com.github.lalyos:jfiglet:0.0.8,constructor_mismatch,1,100.00
commons-cli:commons-cli:1.2,cannot_find_symbol,1,16.67
commons-cli:commons-cli:1.2,generic_type_mismatch,1,16.67
commons-cli:commons-cli:1.2,structure_error,1,16.67
commons-cli:commons-cli:1.2,unchecked_exception_not_handled,3,50.00
commons-fileupload:commons-fileupload:1.4,cannot_find_symbol,4,30.77
commons-fileupload:commons-fileupload:1.4,missing_import,6,46.15
commons-fileupload:commons-fileupload:1.4,other_compile_error,1,7.69
commons-fileupload:commons-fileupload:1.4,structure_error,2,15.38
commons-logging:commons-logging:1.2,cannot_find_symbol,2,28.57
commons-logging:commons-logging:1.2,missing_import,3,42.86
commons-logging:commons-logging:1.2,structure_error,2,28.57
commons-pool:commons-pool:1.6,access_modifier_error,2,20.00
commons-pool:commons-pool:1.6,other_compile_error,2,20.00
commons-pool:commons-pool:1.6,structure_error,6,60.00
io.grpc:grpc-protobuf:1.62.2,cannot_find_symbol,1,100.00
io.jsonwebtoken:jjwt-jackson:0.11.2,constructor_mismatch,1,50.00
io.jsonwebtoken:jjwt-jackson:0.11.2,generic_type_mismatch,1,50.00
io.prometheus:simpleclient:0.16.0,abstract_class_or_interface_instantiation,1,7.69
io.prometheus:simpleclient:0.16.0,access_modifier_error,3,23.08
io.prometheus:simpleclient:0.16.0,cannot_find_symbol,7,53.85
io.prometheus:simpleclient:0.16.0,method_signature_mismatch,1,7.69
io.prometheus:simpleclient:0.16.0,missing_import,1,7.69
io.swagger.core.v3:swagger-annotations:2.2.8,access_modifier_error,3,75.00
io.swagger.core.v3:swagger-annotations:2.2.8,cannot_find_symbol,1,25.00
jakarta.transaction:jakarta.transaction-api:2.0.1,cannot_find_symbol,1,100.00
org.apache.commons:commons-csv:1.8,cannot_find_symbol,2,33.33
org.apache.commons:commons-csv:1.8,generic_type_mismatch,1,16.67
org.apache.commons:commons-csv:1.8,structure_error,1,16.67
org.apache.commons:commons-csv:1.8,unchecked_exception_not_handled,2,33.33
org.apache.logging.log4j:log4j-to-slf4j:2.17.2,access_modifier_error,1,20.00
org.apache.logging.log4j:log4j-to-slf4j:2.17.2,cannot_find_symbol,4,80.00
org.checkerframework:checker-qual:3.12.0,access_modifier_error,1,50.00
org.checkerframework:checker-qual:3.12.0,cannot_find_symbol,1,50.00
org.hjson:hjson:3.0.0,abstract_class_or_interface_instantiation,1,16.67
org.hjson:hjson:3.0.0,access_modifier_error,2,33.33
org.hjson:hjson:3.0.0,cannot_find_symbol,1,16.67
org.hjson:hjson:3.0.0,other_compile_error,1,16.67
org.hjson:hjson:3.0.0,structure_error,1,16.67
org.json:json:20250517,access_modifier_error,4,36.36
org.json:json:20250517,cannot_find_symbol,1,9.09
org.json:json:20250517,generic_type_mismatch,1,9.09
org.json:json:20250517,method_signature_mismatch,1,9.09
org.json:json:20250517,other_compile_error,1,9.09
org.json:json:20250517,structure_error,3,27.27
org.osgi:org.osgi.service.component.annotations:1.3.0,access_modifier_error,4,80.00
org.osgi:org.osgi.service.component.annotations:1.3.0,other_compile_error,1,20.00
org.osgi:org.osgi.service.component:1.5.1,access_modifier_error,1,100.00
org.skyscreamer:jsonassert:2.0-rc1,access_modifier_error,2,20.00
org.skyscreamer:jsonassert:2.0-rc1,cannot_find_symbol,3,30.00
org.skyscreamer:jsonassert:2.0-rc1,constructor_mismatch,1,10.00
org.skyscreamer:jsonassert:2.0-rc1,method_signature_mismatch,3,30.00
org.skyscreamer:jsonassert:2.0-rc1,structure_error,1,10.00
org.slf4j:log4j-over-slf4j:2.0.16,access_modifier_error,1,6.25
org.slf4j:log4j-over-slf4j:2.0.16,cannot_find_symbol,10,62.50
org.slf4j:log4j-over-slf4j:2.0.16,generic_type_mismatch,1,6.25
org.slf4j:log4j-over-slf4j:2.0.16,method_signature_mismatch,1,6.25
org.slf4j:log4j-over-slf4j:2.0.16,other_compile_error,2,12.50
org.slf4j:log4j-over-slf4j:2.0.16,syntax_error,1,6.25
