group_id,artifact_id,version,classes_under_test,total_llm_calls,repair_calls,total_llm_generation_time_seconds,total_pipeline_runtime_seconds,total_prompt_tokens,total_output_tokens,num_repair_attempts
com.github.lalyos,jfiglet,0.0.8,2,2,0,43.1819,64.016,3209,1242,0
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,0,16.9061,41.172,1482,479,0
commons-fileupload,commons-fileupload,1.4,23,23,0,351.4479,493.203,48229,9063,0
commons-logging,commons-logging,1.2,13,13,0,325.0193,406.656,41091,8244,0
commons-pool,commons-pool,1.6,16,16,0,305.382,396.25,60577,6865,0
io.jsonwebtoken,jjwt-jackson,0.11.2,2,2,0,36.4099,46.844,2523,1044,0
io.swagger.core.v3,swagger-annotations,2.2.8,4,4,0,25.6716,64.812,2706,717,0
jakarta.transaction,jakarta.transaction-api,2.0.1,10,10,0,43.693,122.422,7632,1093,0
org.checkerframework,checker-qual,3.12.0,3,3,0,46.2245,79.343,6880,1183,0
org.hjson,hjson,3.0.0,14,14,0,258.1726,356.438,31377,6662,0
org.json,json,20250517,22,22,0,418.5694,561.375,63342,10113,0
org.osgi,org.osgi.service.component,1.5.1,2,2,0,12.1835,32.328,1855,320,0
org.osgi,org.osgi.service.component.annotations,1.3.0,7,7,0,32.8253,95.484,6090,816,0
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,1,0,3.9877,19.063,1476,79,0
org.skyscreamer,jsonassert,2.0-rc1,15,15,0,307.5299,404.172,28138,8479,0
org.slf4j,log4j-over-slf4j,2.0.16,24,24,0,250.9714,393.953,24615,6947,0
io.prometheus,simpleclient,0.16.0,23,23,0,443.0418,569.453,51682,11861,0
aopalliance,aopalliance,1.0,3,3,0,26.1120,49.2500,1791,509,0
commons-cli,commons-cli,1.2,19,19,0,324.2455,497.4850,34909,8348,0
org.apache.commons,commons-csv,1.8,9,9,0,147.5357,239.6250,25492,3389,0
