library,source_file,test_class,stage,category,message
aopalliance:aopalliance:1.0,org\aopalliance\instrument\InstrumentationError.java,InstrumentationErrorTest,compile,cannot_find_symbol,"e: Compilation failure: [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/InstrumentationErrorTest.java:[12,9] cannot find symbol [ERROR] symbol: class InstrumentationError [ERROR] location: class org.aopalliance.instrument.InstrumentationErrorTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/InstrumentationErrorTest.java:[12,42] cannot find symbol [ERROR] symbol: class InstrumentationError [ERROR] location: class org.aopalliance.instrument.InstrumentationErrorTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
aopalliance:aopalliance:1.0,org\aopalliance\instrument\UndoNotSupportedException.java,UndoNotSupportedExceptionTest,compile,cannot_find_symbol,"st [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/UndoNotSupportedExceptionTest.java:[11,47] cannot find symbol [ERROR] symbol: class Instrumentation [ERROR] location: class org.aopalliance.instrument.UndoNotSupportedExceptionTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/aopalliance/aopalliance/1.0/src/test/java/org/aopalliance/instrument/UndoNotSupportedExceptionTest.java:[12,19] cannot find symbol [ERROR] symbol: class UndoNotSupportedException [ERROR] location: class org.aopalliance.instrument.UndoNotSupportedExceptionTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.github.lalyos:jfiglet:0.0.8,com\github\lalyos\jfiglet\JFiglet.java,JFigletTest,compile,access_modifier_error,"a.lang.String) has private access in com.github.lalyos.jfiglet.JFiglet [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[57,62] incompatible types: java.util.Iterator<java.lang.Object> cannot be converted to java.util.Iterator<java.lang.String> [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/com.github.lalyos/jfiglet/0.0.8/src/test/java/com/github/lalyos/jfiglet/JFigletTest.java:[58,16] requireNextArgument(java.util.Iterator<java.lang.String>,java.lang.String) has private access in com.github.lalyos.jfiglet.JFiglet [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\disk\DiskFileItem.java,DiskFileItemTest,compile,other_compile_error,"pair_1/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/disk/DiskFileItemTest.java:[44,13] method does not override or implement a method from a supertype [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-fileupload-llm-tests: Compilation failure [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/disk/DiskFileItemTest.java:[44,13] method does not override or implement a method from a supertype [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\DiskFileUpload.java,DiskFileUploadTest,compile,missing_import,"lm-tests: Compilation failure: Compilation failure: [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/DiskFileUploadTest.java:[5,26] package javax.servlet.http does not exist [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/DiskFileUploadTest.java:[41,42] cannot find symbol [ERROR] symbol: method mock(java.lang.Class<org.apache.commons.fileupload.FileItemFactory>) [ERROR] location: class org.apache.commons.fileupload.DiskFileUploadTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUpload.java,FileUploadTest,compile,cannot_find_symbol,"n failure: Compilation failure: [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadTest.java:[19,19] cannot access javax.servlet.http.HttpServletRequest [ERROR] class file for javax.servlet.http.HttpServletRequest not found [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadTest.java:[24,39] cannot find symbol [ERROR] symbol: class DiskFileItemFactory [ERROR] location: class org.apache.commons.fileupload.FileUploadTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUploadBase.java,FileUploadBaseTest,structure,structure_error,"missing public class FileUploadBaseTest declaration, missing @Test method annotation"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\FileUploadException.java,FileUploadExceptionTest,compile,cannot_find_symbol,"-test/libraries_repair_1/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadExceptionTest.java:[48,9] cannot find symbol [ERROR] symbol: method verify(java.io.PrintWriter) [ERROR] location: class org.apache.commons.fileupload.FileUploadExceptionTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/FileUploadExceptionTest.java:[49,9] cannot find symbol [ERROR] symbol: method verify(java.lang.Throwable) [ERROR] location: class org.apache.commons.fileupload.FileUploadExceptionTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\MultipartStream.java,MultipartStreamTest,structure,structure_error,"missing public class MultipartStreamTest declaration, missing @Test method annotation"
commons-fileupload:commons-fileupload:1.4,org\apache\commons\fileupload\portlet\PortletFileUpload.java,PortletFileUploadTest,compile,missing_import,"find symbol [ERROR] symbol: class HttpServletRequest [ERROR] location: class org.apache.commons.fileupload.portlet.PortletFileUploadTest [ERROR] /C:/Users/minhn/llm-test/libraries_repair_1/commons-fileupload/commons-fileupload/1.4/src/test/java/org/apache/commons/fileupload/portlet/PortletFileUploadTest.java:[59,26] reference to parseParameterMap is ambiguous [ERROR] both method parseParameterMap(org.apache.commons.fileupload.RequestContext) in org.apache.commons.fileupload.FileUploadBase and method parseParameterMap(javax.portlet.ActionRequest) in org.apache.commons.fileupload.portlet.PortletFileUpload match [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
