group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1.0,LLM,35.82,,47.37,62.5,62.5,100,3,1,0.3333,3,2,1,0,0.6667,0.3333,0
com.github.lalyos,jfiglet,0.0.8,LLM,64.36,57.14,58.41,51.22,53.85,50,2,1,0.5,8,4,0,4,0.5,0,0.5
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,82.17,75,87.5,80,87.5,66.67,2,2,1,12,12,0,0,1,0,0
commons-fileupload,commons-fileupload,1.4,LLM,26.6,22.51,22.1,17.87,20.5,28.21,23,9,0.3913,48,31,17,0,0.6458,0.3542,0
commons-logging,commons-logging,1.2,LLM,8.71,2.99,10.25,9.94,19.53,18.52,13,5,0.3846,64,47,17,0,0.7344,0.2656,0
commons-pool,commons-pool,1.6,LLM,6.34,4.77,7.35,5.81,9.72,15.22,16,6,0.375,50,41,8,1,0.82,0.16,0.02
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,67.7,,73.68,75,75,50,4,4,1,18,18,0,0,1,0,0
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,44.2,,70.83,80.95,80.95,81.82,10,9,0.9,19,17,2,0,0.8947,0.1053,0
org.checkerframework,checker-qual,3.12.0,LLM,54.47,64.41,56.28,60,76.92,42.86,3,3,1,14,10,4,0,0.7143,0.2857,0
org.hjson,hjson,3.0.0,LLM,26.67,21.92,28.46,21.78,35.36,66.67,14,8,0.5714,52,43,9,0,0.8269,0.1731,0
org.json,json,20250517,LLM,17.1,11.9,18.75,12.11,25.49,76.92,22,12,0.5455,65,49,11,5,0.7538,0.1692,0.0769
org.osgi,org.osgi.service.component,1.5.1,LLM,22.86,,23.08,20,20,16.67,2,1,0.5,5,1,2,2,0.2,0.4,0.4
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,100,,100,100,100,100,7,7,1,18,18,0,0,1,0,0
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,100,,100,100,100,100,1,1,1,1,1,0,0,1,0,0
org.skyscreamer,jsonassert,2.0-rc1,LLM,22.36,18.39,22.24,19.39,24.52,50,15,7,0.4667,37,31,5,1,0.8378,0.1351,0.027
org.slf4j,log4j-over-slf4j,2.0.16,LLM,32.99,20.87,32.17,26.84,33.13,70.83,24,12,0.5,49,36,13,0,0.7347,0.2653,0
io.prometheus,simpleclient,0.16.0,LLM,9.25,7.01,11.42,7.53,12.64,20.37,23,4,0.1739,23,18,5,0,0.7826,0.2174,0
org.apache.commons,commons-csv,1.8,LLM,26.06,7.6,24.7,15.44,35.9,86.67,9,6,0.6667,32,21,8,3,0.6562,0.25,0.0938
commons-cli,commons-cli,1.2,LLM,36.23,30.82,37.10,32.01,47.06,85.00,19,15,0.7895,93,68,23,2,0.7312,0.2473,0.0215
