group_id,artifact_id,version,total_classes_under_test,total_llm_calls,initial_generation_calls,repair_calls,total_llm_generation_time_seconds,average_llm_generation_time_per_class_seconds,total_pipeline_runtime_seconds,average_pipeline_runtime_per_class_seconds,total_prompt_tokens,total_output_tokens,number_of_repair_attempts
aopalliance,aopalliance,1,3,6,3,3,55.5863,18.5288,93.954,31.318,6412,1499,1
com.github.lalyos,jfiglet,0.0.8,2,4,2,2,93.3925,46.6962,135.313,67.6565,9310,2482,1
com.github.spotbugs,spotbugs-annotations,4.8.6,2,3,2,1,25.5091,12.7546,57.234,28.617,3428,665,1
com.squareup.retrofit2,converter-gson,3.0.0,4,8,4,4,134.2238,33.5559,200.687,50.1718,10835,3625,1
commons-cli,commons-cli,1.2,19,34,19,15,656.9127,34.5744,912.063,48.0033,76849,16942,1
commons-logging,commons-logging,1.2,13,20,13,7,553.3641,42.5665,974.204,74.9388,58160,12862,1
io.jsonwebtoken,jjwt-jackson,0.11.2,2,4,2,2,66.1648,33.0824,127.046,63.523,7857,1721,1
io.swagger.core.v3,swagger-annotations,2.2.8,4,6,4,2,49.5526,12.3881,96.39,24.0975,6176,1309,1
jakarta.transaction,jakarta.transaction-api,2.0.1,10,16,10,6,100.3563,10.0356,285.813,28.5813,15424,2385,1
org.apache.commons,commons-csv,1.8,9,15,9,6,309.4499,34.3833,397.234,44.1371,40572,7773,1
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,5,10,5,5,177.4163,35.4833,279.188,55.8376,17947,4819,1
org.checkerframework,checker-qual,3.12.0,3,6,3,3,107.1218,35.7073,177.422,59.1407,16513,2652,1
org.hjson,hjson,3.0.0,14,25,14,11,502.2518,35.8751,650.25,46.4464,57401,13085,1
org.json,json,20250517,22,38,22,16,792.3072,36.014,1090.735,49.5789,96068,20204,1
org.osgi,org.osgi.service.component,1.5.1,2,4,2,2,29.4156,14.7078,63.422,31.711,4507,743,1
org.osgi,org.osgi.service.component.annotations,1.3.0,7,11,7,4,74.4925,10.6418,143.765,20.5379,9818,1940,1
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,1,1,0,9.9908,9.9908,26.391,26.391,1316,267,1
org.ow2.asm,asm-analysis,9.2,12,22,12,10,589.2484,49.104,707.5,58.9583,68660,14954,1
org.slf4j,log4j-over-slf4j,2.0.16,24,43,24,19,497.3283,20.722,814.485,33.9369,57253,13176,1
software.amazon.smithy,smithy-aws-smoke-test-model,1.65.0,4,8,4,4,127.355,31.8388,152.531,38.1327,12494,3480,1
